Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Sunday,1/4/12,"6,476","25,639","10,263","11,490","6,678","3,885","9,858",,,
Monday,2/4/12,"6,242","30,383","12,867","13,249","7,333","6,054","8,095",,,
Tuesday,3/4/12,"5,550","24,410","8,183","10,687","5,554","5,227","6,527",,,
Wednesday,4/4/12,"6,255","32,348","12,550","14,119","7,502","6,019","9,442",,,
Thursday,5/4/12,"7,702","34,965","12,901","16,417","9,184","7,046","10,998",,,
Friday,6/4/12,"7,430","33,829","10,488","16,703","10,299","5,522","10,976",,,
Saturday,7/4/12,"7,284","36,391","14,007","19,535","14,146","7,014","12,967",,,
Sunday,8/4/12,"5,416","20,838","7,598","10,157","6,968","3,494","9,685",,,
Monday,9/4/12,"5,970","29,233","5,378","12,248","8,211","4,545","9,842",,,
Tuesday,10/4/12,"7,042","24,432","5,851","11,741","6,398","5,340","6,633",,,
Wednesday,11/4/12,"7,418","29,943","8,915","13,952","8,149","6,521","9,274",,,
Thursday,12/4/12,"7,570","32,521","13,050","14,679","8,636","6,424","9,274",,,
Friday,13/04/2012,"7,470","31,402","9,074","14,891","10,335","6,632","10,362",,,
Saturday,14/04/2012,"7,384","30,941","6,846","15,564","10,703","5,184","11,388",,,
Sunday,15/04/2012,"5,802","19,498","6,040","9,494","5,333","3,557","8,068",,,
Monday,16/04/2012,"5,852","24,459","9,068","11,062","6,233","5,839","7,201",,,
Tuesday,17/04/2012,"6,222","20,863","9,222","10,417","5,777","5,692","6,006",,,
Wednesday,18/04/2012,"7,976","22,405","8,555","10,605","6,081","5,985","6,468",,,
Thursday,19/04/2012,"5,613","23,845","9,340","11,623","6,804","5,721","6,099",,,
Friday,20/04/2012,"8,401","26,291","9,409","14,059","8,912","6,421","7,678",,,
Saturday,21/04/2012,"7,605","31,609","10,151","16,100","11,052","5,490","10,031",,,
Sunday,22/04/2012,"8,026","20,211","4,240","8,808","5,470","3,862","6,557",,,
Monday,23/04/2012,"7,608","21,116","7,554","10,177","6,129","5,703","6,549",,,
Tuesday,24/04/2012,"8,015","20,262","8,787","10,461","5,881","5,507","5,990",,,
Wednesday,25/04/2012,"7,216","19,607","9,209","9,871","5,753","5,454","6,159",,,
Thursday,26/04/2012,"5,959","23,132","9,881","11,330","6,979","5,829","6,528",,,
Friday,27/04/2012,"6,861","28,337","11,477","14,459","9,260","6,403","9,479",,,
Saturday,28/04/2012,"8,694","33,006","11,866","18,019","12,105","5,896","13,851",,,
Sunday,29/04/2012,"4,804","21,969","7,699","9,437","5,850","3,219","7,854",,,
Monday,30/04/2012,"6,103","21,963","7,338","10,748","6,717","5,592","8,039",,,
