Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Thursday,1/3/12,"6,165","34,818","23,458","15,417","10,655","10,582","9,512",,,
Friday,2/3/12,"6,906","28,547","15,760","12,428","9,040","8,066","8,877",,,
Saturday,3/3/12,"7,435","37,333","18,762","19,259","11,980","6,781","12,328",,,
Sunday,4/3/12,"5,628","21,536","9,809","9,931","5,460","3,751","7,169",,,
Monday,5/3/12,"5,887","22,763","14,525","11,956","5,989","7,556","6,109",,,
Tuesday,6/3/12,"5,533","20,985","13,892","11,779","6,017","7,185","5,468",,,
Wednesday,7/3/12,"5,726","22,841","13,480","11,253","6,012","6,815","5,100",,,
Thursday,8/3/12,"5,985","25,722","14,047","12,665","7,228","7,326","6,116",,,
Friday,9/3/12,"6,682","28,174","15,818","14,803","9,284","7,850","8,894",,,
Saturday,10/3/12,"6,661","36,945","17,305","18,564","12,194","7,279","12,732",,,
Sunday,11/3/12,"5,250","21,728","10,119","9,850","6,279","3,830","7,059",,,
Monday,12/3/12,"5,731","21,956","12,847","10,788","6,689","7,088","6,157",,,
Tuesday,13/03/2012,"5,981","22,406","12,683","11,637","6,709","7,210","6,027",,,
Wednesday,14/03/2012,"6,027","24,102","13,471","11,776","6,359","6,836","6,357",,,
Thursday,15/03/2012,"6,307","26,892","13,608","13,188","7,450","6,355","6,883",,,
Friday,16/03/2012,"6,997","27,209","12,829","13,547","8,171","5,331","6,649",,,
Saturday,17/03/2012,"8,353","35,327","17,128","18,398","12,526","5,547","15,927",,,
Sunday,18/03/2012,"5,848","22,131","9,745","9,563","5,584","3,423","8,930",,,
Monday,19/03/2012,"5,309","21,740","12,161","10,921","6,433","5,523","5,384",,,
Tuesday,20/03/2012,"6,434","22,957","11,324","11,540","6,987","5,718","5,746",,,
Wednesday,21/03/2012,"6,045","24,502","12,080","11,894","7,080","6,041","6,923",,,
Thursday,22/03/2012,"6,689","26,500","12,310","12,665","7,140","5,947","7,458",,,
Friday,23/03/2012,"6,219","28,261","14,320","14,463","9,251","6,460","9,440",,,
Saturday,24/03/2012,"6,205","36,366","16,564","20,143","11,842","5,210","11,219",,,
Sunday,25/03/2012,"5,313","20,679","8,261","10,615","5,920","3,620","8,704",,,
Monday,26/03/2012,"6,786","23,912","10,122","12,098","6,911","6,315","7,343",,,
Tuesday,27/03/2012,"8,894","25,317","9,997","12,339","7,114","6,573","7,988",,,
Wednesday,28/03/2012,"7,463","26,669","10,569","12,859","7,145","6,468","7,922",,,
Thursday,29/03/2012,"8,044","28,594","12,199","13,501","7,740","6,418","8,156",,,
Friday,30/03/2012,"9,451","31,756","13,631","16,076","10,129","6,855","10,862",,,
Saturday,31/03/2012,"9,731","35,683","15,549","19,562","11,956","5,764","12,875",,,
