Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Saturday,1/12/12,"51,486","22,477","22,409","16,215","30,961","4,972","10,315","12,899",,
Sunday,2/12/12,"28,095","12,472","12,209","7,929","14,559","3,120","6,170","8,665",,
Monday,3/12/12,"32,793","9,798","9,333","6,775","11,941","4,896","4,769","7,071",,
Tuesday,4/12/12,"30,972","9,594","8,886","5,926","10,881","4,351","4,711","6,527",,
Wednesday,5/12/12,"24,491","11,310","9,882","6,830","15,496","5,243","4,084","7,077",,
Thursday,6/12/12,"30,971","10,850","9,923","5,138","14,177","3,467","5,661","6,826",,
Friday,7/12/12,"48,921","16,246","13,825","9,412","20,276","5,014","9,137","9,967",,
Saturday,8/12/12,"50,467","18,593","20,531","15,309","34,061","4,120","10,404","11,257",,
Sunday,9/12/12,"27,258","11,094","13,461","7,999","7,665","3,199","5,991","8,522",,
Monday,10/12/12,"35,743","9,247","10,780","7,243","16,453","4,953","5,196","7,055",,
Tuesday,11/12/12,"35,610","8,803","10,375","6,705","15,122","5,009","5,414","6,589",,
Wednesday,12/12/12,"24,007","9,028","10,460","6,997","15,593","5,018","3,005","6,331",,
Thursday,13/12/2012,"30,365","10,159","12,365","7,915","17,180","5,046","4,440","6,928",,
Friday,14/12/2012,"45,989","9,228","12,858","8,259","17,295","4,077","8,593","7,915",,
Saturday,15/12/2012,"47,446","10,486","18,671","14,885","22,344","4,448","9,774","11,040",,
Sunday,16/12/2012,"25,628","8,302","13,695","7,332","4,661","3,032","5,630","7,661",,
Monday,17/12/2012,"34,683","8,514","11,696","7,735","15,608","4,725","2,078","7,606",,
Tuesday,18/12/2012,"33,481","6,309","12,450","8,683","5,067","5,029","5,092","7,853",,
Wednesday,19/12/2012,"23,528","8,613","12,468","8,490","7,557","5,072","2,954","7,253",,
Thursday,20/12/2012,"29,772","6,235","12,407","8,333","13,735","3,810","4,364","6,643",,
Friday,21/12/2012,"47,362","5,796","16,173","11,110","17,205","4,024","4,364","8,074",,
Saturday,22/12/2012,"48,863","5,183","13,387","9,670","14,985","2,398","4,083","6,334",,
Sunday,23/12/2012,"26,392","6,900","10,823","6,846","6,553","1,880","2,914","6,955",,
Monday,24/12/2012,"38,155","9,287","11,620","7,659","18,873","2,859","3,583","5,987",,
Tuesday,25/12/2012,"6,692","1,085","1,366","1,024","1,192",836,"2,169","4,084",,
Wednesday,26/12/2012,"23,754","8,171","13,046","6,367","16,366","1,746","2,644","3,816",,
Thursday,27/12/2012,"38,702","12,609","15,944","9,716","18,214","3,216","5,676","7,787",,
Friday,28/12/2012,"58,358","11,510","16,859","11,807","20,169","3,150","7,951","11,190",,
Saturday,29/12/2012,"53,755","9,260","15,472","11,242","21,228","3,200","8,671","11,388",,
Sunday,30/12/2012,"29,035","7,985","12,011","8,649","16,462","2,132","6,828","12,930",,
Monday,31/12/2012,"45,828","15,422","22,445","15,646","5,762","4,965","12,262","23,475",,
