Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Monday,1/10/12,"30,549","6,695","8,344","6,410","6,978","5,480","6,502","9,265",,
Tuesday,2/10/12,"30,214","4,782","7,808","6,739","3,650","5,416","5,522","9,457",,
Wednesday,3/10/12,"32,979","5,963","8,116","7,395","4,950","5,959","6,391","9,844",,
Thursday,4/10/12,"34,650","5,836","9,370","8,104","8,840","6,229","6,294","10,264",,
Friday,5/10/12,"36,275","6,844","10,731","10,000","6,872","6,476","8,292","13,054",,
Saturday,6/10/12,"39,781","8,384","15,246","13,354","9,437","5,374","12,217","12,343",,
Sunday,7/10/12,"28,502","5,146","8,254","6,396","6,915","3,390","8,137","10,129",,
Monday,8/10/12,"30,755","6,319","7,834","7,676","7,019","5,547","6,529","8,810",,
Tuesday,9/10/12,"31,142","6,246","8,352","6,889","3,701","5,286","6,398","9,829",,
Wednesday,10/10/12,"32,972","7,052","8,574","7,718","4,886","4,708","6,567","10,339",,
Thursday,11/10/12,"28,543","5,410","7,468","6,182","8,680","4,513","4,763","8,725",,
Friday,12/10/12,"34,308","8,413","10,277","8,831","6,315","4,122","7,932","11,274",,
Saturday,13/10/2012,"40,339","9,975","13,347","11,365","8,686","4,042","10,174","12,897",,
Sunday,14/10/2012,"25,047","3,903","6,497","5,245","6,366","2,361","5,201","8,436",,
Monday,15/10/2012,"34,367","3,933","8,519","6,870","6,834","5,287","6,521","9,722",,
Tuesday,16/10/2012,"28,102","3,635","7,016","6,032","3,626","4,183","5,507","9,647",,
Wednesday,17/10/2012,"26,777","4,219","6,439","5,662","4,741","3,805","3,800","8,970",,
Thursday,18/10/2012,"36,736","6,907","9,684","7,987","8,439","4,940","5,746","9,947",,
Friday,19/10/2012,"34,926","5,198","10,383","8,017","6,498","4,620","5,887","11,117",,
Saturday,20/10/2012,"40,128","6,887","14,405","11,966","8,934","4,258","10,728","12,578",,
Sunday,21/10/2012,"27,398","3,699","8,738","5,912","6,543","3,506","7,963","11,041",,
Monday,22/10/2012,"32,031","6,363","8,196","6,489","6,659","5,197","5,987","9,253",,
Tuesday,23/10/2012,"29,673","3,290","7,960","5,903","3,697","4,569","4,845","9,132",,
Wednesday,24/10/2012,"31,354","6,044","9,004","6,689","4,878","5,325","7,459","9,744",,
Thursday,25/10/2012,"34,066","7,023","9,877","7,398","8,973","5,488","7,128","8,754",,
Friday,26/10/2012,"37,679","8,843","11,214","8,771","6,892","5,846","9,743","10,319",,
Saturday,27/10/2012,"41,483","9,637","14,519","10,989","9,503","4,503","10,569","11,992",,
Sunday,28/10/2012,"28,841","5,064","8,239","6,328","6,938","2,995","8,105","10,352",,
Monday,29/10/2012,"35,219","6,555","9,417","8,006","7,276","5,662","8,353","11,073",,
Tuesday,30/10/2012,"34,786","7,206","8,961","7,662","4,030","4,605","6,272","9,708",,
Wednesday,31/10/2012,"30,580","3,737","7,767","6,362","5,336","3,974","6,672","11,273",,
