Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Wednesday,1/8/12,"34,907","5,173","13,608","10,545","4,648","6,654","11,130","13,551",,
Thursday,2/8/12,"37,502","6,499","15,534","11,931","5,178","7,363","14,162","16,378",,
Friday,3/8/12,"36,311","6,323","19,195","13,872","4,873","7,907","17,097","20,944",,
Saturday,4/8/12,"33,896","7,540","21,531","15,960","7,798","7,534","20,645","18,735",,
Sunday,5/8/12,"28,712","5,136","12,026","7,660","1,982","4,678","13,465","21,829",,
Monday,6/8/12,"36,319","7,027","15,052","10,649","8,236","6,653","16,239","18,074",,
Tuesday,7/8/12,"35,649","6,517","17,188","13,278","3,702","8,481","19,378","18,738",,
Wednesday,8/8/12,"35,217","6,285","17,313","13,510","6,975","8,362","17,883","21,504",,
Thursday,9/8/12,"35,996","6,049","18,651","13,400","7,340","8,371","20,133","20,781",,
Friday,10/8/12,"36,176","5,543","20,624","13,727","7,438","9,028","20,927","22,840",,
Saturday,11/8/12,"37,538","6,033","25,947","16,881","10,101","8,200","20,107","24,157",,
Sunday,12/8/12,"33,504","4,503","17,510","10,600","7,929","6,334","20,262","24,634",,
Monday,13/08/2012,"39,408","5,979","17,186","12,308","8,628","8,079","17,414","18,155",,
Tuesday,14/08/2012,"37,197","4,085","18,814","13,052","3,870","8,403","19,275","23,857",,
Wednesday,15/08/2012,"36,252","5,441","16,761","12,118","6,565","7,628","15,668","18,558",,
Thursday,16/08/2012,"39,048","5,009","18,477","13,447","7,759","8,278","20,369","22,184",,
Friday,17/08/2012,"39,076","5,059","19,758","14,389","7,213","7,896","19,390","22,500",,
Saturday,18/08/2012,"40,068","2,706","24,653","17,040","9,919","8,263","23,278","24,543",,
Sunday,19/08/2012,"31,288","3,351","15,698","9,569","7,533","6,002","18,257","19,573",,
Monday,20/08/2012,"34,982","4,253","15,883","11,608","8,378","8,206","17,164","18,842",,
Tuesday,21/08/2012,"35,854","5,191","15,490","11,414","3,822","7,463","15,090","20,695",,
Wednesday,22/08/2012,"38,850","7,049","15,973","11,820","6,746","7,495","16,507","19,773",,
Thursday,23/08/2012,"39,571","6,374","17,027","12,389","7,506","8,474","17,955","23,854",,
Friday,24/08/2012,"36,830","8,565","19,253","14,485","7,002","8,144","18,420","21,801",,
Saturday,25/08/2012,"36,059","8,627","21,553","16,279","9,631","6,328","20,724","22,974",,
Sunday,26/08/2012,"31,668","7,274","15,593","7,525","7,319","5,980","17,930","14,588",,
Monday,27/08/2012,"32,135","6,105","10,323","9,363","8,145","5,843","11,240","19,051",,
Tuesday,28/08/2012,"33,448","6,463","10,334","10,484","3,268","6,645","10,729","15,478",,
Wednesday,29/08/2012,"28,127","5,122","7,714","7,667","4,377","5,242","6,889","12,955",,
Thursday,30/08/2012,"36,533","7,298","10,195","9,366","5,670","6,465","9,508","14,513",,
Friday,31/08/2012,"34,121","8,475","10,866","10,525","6,594","5,720","8,978","14,245",,
