Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Saturday,1/9/12,"38,076","7,193","14,633","13,014","9,062","5,348","12,335","13,206",,
Sunday,2/9/12,"27,335","4,340","12,915","10,708","6,883","6,071","10,413","11,229",,
Monday,3/9/12,"32,231","4,523","8,935","8,757","6,714","5,911","8,555","11,652",,
Tuesday,4/9/12,"31,767","5,399","8,447","7,850","2,687","5,736","7,961","11,060",,
Wednesday,5/9/12,"32,556","3,408","8,869","8,334","4,558","5,911","8,074","9,420",,
Thursday,6/9/12,"34,884","5,422","9,801","8,594","5,346","5,459","7,397","9,749",,
Friday,7/9/12,"35,619","6,481","11,102","9,591","6,332","6,183","9,277","11,860",,
Saturday,8/9/12,"36,164","5,402","14,702","12,940","8,709","5,590","12,409","12,859",,
Sunday,9/9/12,"29,933","4,787","8,933","6,685","6,615","4,470","9,315","14,306",,
Monday,10/9/12,"30,361","5,414","8,017","7,032","6,264","5,094","5,962","10,492",,
Tuesday,11/9/12,"33,012","6,501","8,555","7,454","4,118","6,063","7,256","11,528",,
Wednesday,12/9/12,"34,091","6,815","9,949","8,149","5,091","6,177","8,202","10,662",,
Thursday,13/09/2012,"24,813","4,857","10,991","7,869","8,198","5,490","9,710","11,905",,
Friday,14/09/2012,"35,614","7,796","10,929","10,409","6,507","6,018","9,042","13,344",,
Saturday,15/09/2012,"36,289","7,294","13,781","12,072","8,555","5,142","11,665","13,983",,
Sunday,16/09/2012,"26,912","4,332","10,230","6,746","6,233","3,880","8,209","11,588",,
Monday,17/09/2012,"33,297","6,605","8,802","7,161","6,370","5,210","7,571","11,451",,
Tuesday,18/09/2012,"32,243","7,606","8,333","7,443","4,065","6,043","7,124","11,007",,
Wednesday,19/09/2012,"33,268","7,907","8,503","7,849","5,018","6,186","7,106","11,136",,
Thursday,20/09/2012,"25,181","5,306","7,057","5,590","7,716","4,083","4,620","9,022",,
Friday,21/09/2012,"36,217","9,247","10,913","9,828","7,113","6,268","9,784","11,956",,
Saturday,22/09/2012,"40,414","11,262","15,927","13,003","9,347","6,024","13,034","15,428",,
Sunday,23/09/2012,"28,216","6,136","9,335","6,557","7,231","4,491","8,749","11,177",,
Monday,24/09/2012,"26,570","6,247","6,803","5,417","5,524","4,708","5,121","10,000",,
Tuesday,25/09/2012,"26,903","5,125","7,067","5,757","3,654","5,161","5,105","10,056",,
Wednesday,26/09/2012,"31,000","6,047","8,453","7,119","4,742","5,570","5,356","11,308",,
Thursday,27/09/2012,"35,464","6,171","9,848","8,050","8,437","6,276","6,721","8,079",,
Friday,28/09/2012,"35,845","6,413","11,138","9,156","6,688","6,474","7,911","11,152",,
Saturday,29/09/2012,"41,513","9,530","16,507","12,611","9,182","5,485","11,007","13,847",,
Sunday,30/09/2012,"25,114","4,214","8,003","5,912","6,733","2,940","6,874","10,254",,
