Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Sunday,1/7/12,"6,535","28,036","4,662","10,286","8,175","6,259","3,814","10,976","12,100",
Monday,2/7/12,"6,741","29,623","6,017","9,571","7,842","4,781","5,644","7,505","12,842",
Tuesday,3/7/12,"7,056","36,175","4,911","10,979","8,431","2,954","6,380","8,697","12,773",
Wednesday,4/7/12,"6,933","31,403","3,961","10,297","7,190","6,297","6,122","7,992","13,201",
Thursday,5/7/12,"6,867","37,560","7,572","11,918","9,264","8,053","6,738","10,440","17,772",
Friday,6/7/12,"6,314","34,302","8,413","12,016","9,807","8,077","6,007","9,062","13,073",
Saturday,7/7/12,"5,983","27,797","5,710","10,078","8,841","5,255","4,006","8,412","15,734",
Sunday,8/7/12,"5,585","27,386","4,256","8,168","5,751","12,460","4,012","7,338","12,184",
Monday,9/7/12,"6,086","31,859","7,142","9,677","8,127","5,544","6,003","7,704","13,092",
Tuesday,10/7/12,"6,647","32,718","6,610","9,866","5,946","5,530","6,204","8,071","8,370",
Wednesday,11/7/12,"6,274","31,490","7,493","10,137","7,774","8,550","6,478","8,323","13,164",
Thursday,12/7/12,"6,529","37,343","7,279","11,940","9,327","8,081","6,859","9,542","13,935",
Friday,13/07/2012,"7,203","36,878","8,521","13,269","11,366","6,307","6,750","11,016","14,663",
Saturday,14/07/2012,"7,899","35,971","7,294","14,828","12,066","10,039","5,554","13,267","14,666",
Sunday,15/07/2012,"5,951","29,056","5,353","9,456","6,197","14,207","3,877","9,801","11,932",
Monday,16/07/2012,"6,633","34,045","6,059","10,607","8,592","3,124","6,398","9,341","14,171",
Tuesday,17/07/2012,"6,330","36,218","6,536","11,241","9,150","7,258","6,442","10,561","14,919",
Wednesday,18/07/2012,"5,988","17,679","4,647","6,891","6,089","3,989","4,636","5,469","10,262",
Thursday,19/07/2012,"6,963","36,992","8,762","14,939","8,986","5,322","6,516","9,397","12,364",
Friday,20/07/2012,"8,125","34,778","7,118","15,076","11,671","2,341","6,823","12,115","16,779",
Saturday,21/07/2012,"7,400","34,889","7,806","16,890","13,709","5,278","6,886","17,156","14,392",
Sunday,22/07/2012,"6,666","30,055","5,291","14,984","10,444","5,721","4,466","14,162","11,479",
Monday,23/07/2012,"6,635","26,307","4,218","8,237","6,785","5,121","4,919","6,458","11,484",
Tuesday,24/07/2012,"7,274","34,301","4,972","11,524","9,829","3,326","6,792","10,535","12,758",
Wednesday,25/07/2012,"8,828","33,057","4,578","11,727","10,050","4,249","7,210","10,857","12,952",
Thursday,26/07/2012,"6,757","36,373","4,917","12,502","10,141","4,736","6,705","10,223","12,024",
Friday,27/07/2012,"8,891","36,842","7,466","13,530","10,982","4,491","7,195","11,873","13,406",
Saturday,28/07/2012,"7,771","32,208","7,593","14,232","11,209","7,167","5,109","13,356","15,242",
Sunday,29/07/2012,"6,363","30,205","5,009","9,640","6,967","1,837","4,037","10,987","11,893",
Monday,30/07/2012,"6,910","35,715","7,761","10,794","9,279","5,964","7,176","10,260","13,372",
Tuesday,31/07/2012,"7,716","34,833","6,956","12,257","10,147","3,183","6,930","10,387","12,482",
