Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Friday,1/6/12,"9,180","29,854","9,478","15,242","9,939","6,513","10,283","12,194",,
Saturday,2/6/12,"7,288","34,767","6,350","18,941","12,431","5,852","13,763","15,678",,
Sunday,3/6/12,"8,149","25,977","7,194","12,246","7,627","4,601","11,707","13,600",,
Monday,4/6/12,"6,853","32,001","8,861","14,075","8,751","14,113","5,676","11,921","12,114",
Tuesday,5/6/12,"6,375","30,890","6,255","12,966","8,002","2,129","4,793","9,617","12,026",
Wednesday,6/6/12,"6,705","26,153","8,902","12,543","7,655","7,835","6,107","8,490","12,948",
Thursday,7/6/12,"6,523","28,702","9,296","12,991","8,990","7,471","6,379","9,446","12,179",
Friday,8/6/12,"6,690","27,304","10,476","13,777","9,191","8,787","6,254","9,402","13,627",
Saturday,9/6/12,"8,152","31,161","7,009","16,119","11,130","8,637","5,111","11,355","11,845",
Sunday,10/6/12,"5,430","21,886","6,055","9,537","6,027","5,928","3,451","7,808","9,736",
Monday,11/6/12,"6,355","24,220","9,119","11,332","7,753","7,488","6,053","7,563","10,980",
Tuesday,12/6/12,"6,593","25,286","7,151","12,112","7,747","3,307","6,392","7,607","11,587",
Wednesday,13/06/2012,"8,834","25,016","6,162","12,657","7,946","5,151","6,319","10,099","12,430",
Thursday,14/06/2012,"6,676","26,949","8,345","14,006","9,077","4,493","6,496","9,416","9,153",
Friday,15/06/2012,"6,288","23,707","8,159","11,459","7,720","17,575","5,055","7,236","10,928",
Saturday,16/06/2012,"5,658","28,273","5,692","12,472","8,220","18,390","3,917","6,694","11,613",
Sunday,17/06/2012,"5,711","20,379","4,542","8,367","5,255","4,285","3,016","6,551","9,897",
Monday,18/06/2012,"7,156","27,231","7,483","12,084","7,751","15,791","6,462","8,055","10,773",
Tuesday,19/06/2012,"9,071","26,842","5,750","12,640","7,661","18,589","6,581","8,486","9,990",
Wednesday,20/06/2012,"6,649","28,866","7,697","12,595","8,411","15,877","6,385","9,436","9,372",
Thursday,21/06/2012,"6,089","22,211","8,156","10,351","6,791","15,594","5,183","6,155","10,169",
Friday,22/06/2012,"9,270","26,838","9,752","14,191","9,694","7,676","6,319","9,052","13,206",
Saturday,23/06/2012,"6,784","32,912","11,388","17,873","12,281","12,299","5,425","11,821","12,982",
Sunday,24/06/2012,"6,181","23,922","5,406","10,817","6,606","14,857","3,809","8,532","11,075",
Monday,25/06/2012,"8,201","27,013","6,674","13,234","8,518","5,069","6,390","8,751","11,384",
Tuesday,26/06/2012,"6,466","26,847","4,064","12,443","8,275","2,634","6,157","8,152","11,421",
Wednesday,27/06/2012,"6,857","25,009","7,449","12,375","8,140","7,702","6,094","8,007","10,811",
Thursday,28/06/2012,"8,641","30,634","7,974","14,348","9,324","5,127","6,606","9,206","12,527",
Friday,29/06/2012,"7,605","29,631","7,750","16,784","10,880","8,388","6,044","10,339","13,246",
Saturday,30/06/2012,"8,124","35,132","7,614","17,400","13,900","4,882","5,591","13,128","13,851",
