Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Tuesday,1/5/12,"6,362","23,656","9,053","11,062","6,858","5,876","7,317",,,
Wednesday,2/5/12,"7,258","23,008","8,154","11,455","7,105","6,248","7,000",,,
Thursday,3/5/12,"9,238","26,210","7,236","11,818","7,369","6,332","7,564",,,
Friday,4/5/12,"6,803","27,893","12,803","13,982","8,019","4,884","9,027",,,
Saturday,5/5/12,"8,196","32,915","13,617","17,090","12,168","5,727","13,803",,,
Sunday,6/5/12,"5,192","22,934","8,491","10,730","6,643","3,811","10,317",,,
Monday,7/5/12,"6,581","27,340","8,348","11,845","6,789","4,761","7,916",,,
Tuesday,8/5/12,"7,141","24,172","9,134","11,635","6,573","6,495","7,567",,,
Wednesday,9/5/12,"6,017","23,635","8,399","11,380","6,676","6,463","7,368",,,
Thursday,10/5/12,"5,411","16,634","3,860","8,865","4,833","4,846","4,923",,,
Friday,11/5/12,"6,133","21,731","9,562","11,423","7,188","5,427","7,402",,,
Saturday,12/5/12,"8,485","32,682","11,487","17,179","10,669","5,831","12,731",,,
Sunday,13/05/2012,"4,415","17,549","5,876","8,623","4,942","2,928","6,542",,,
Monday,14/05/2012,"7,318","22,342","10,120","10,394","6,442","5,758","7,406",,,
Tuesday,15/05/2012,"7,127","23,766","9,263","11,505","6,907","6,028","6,422",,,
Wednesday,16/05/2012,"6,258","24,902","9,360","11,344","7,235","6,125","7,133",,,
Thursday,17/05/2012,"6,576","22,161","8,011","10,557","6,666","5,309","6,559",,,
Friday,18/05/2012,"6,137","21,800","8,610","11,172","7,377","5,466","7,037",,,
Saturday,19/05/2012,"9,569","31,691","11,357","17,572","10,565","5,824","12,455",,,
Sunday,20/05/2012,"8,665","21,960","5,751","10,242","5,743","5,120","9,716",,,
Monday,21/05/2012,"9,456","25,307","8,377","11,530","7,105","6,182","8,316",,,
Tuesday,22/05/2012,"8,052","26,141","8,369","11,778","7,597","6,562","7,986",,,
Wednesday,23/05/2012,"8,580","27,439","6,832","12,375","8,127","6,626","8,707",,,
Thursday,24/05/2012,"10,075","29,508","2,813","13,733","8,950","6,827","9,502",,,
Friday,25/05/2012,"10,485","28,372","7,843","14,818","9,853","4,660","11,145",,,
Saturday,26/05/2012,"10,896","30,777","6,690","17,264","11,908","6,274","14,242",,,
Sunday,27/05/2012,"9,027","24,698","4,236","9,629","6,810","4,076","10,530",,,
Monday,28/05/2012,"7,468","27,481","5,439","12,243","7,898","6,683","8,676","10,926",,
Tuesday,29/05/2012,"6,262","25,496","7,524","12,230","7,510","5,993","7,684","10,842",,
Wednesday,30/05/2012,"6,126","26,556","8,535","12,187","7,360","5,927","7,129","11,789",,
Thursday,31/05/2012,"6,572","24,054","7,768","10,981","6,577","4,768","6,069","10,731",,
