Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Monday,01/12/2014,"6,651","40,481","12,261","10,578","6,847","14,797","15,038","3,714","8,735"
Tuesday,02/12/2014,"6,869","38,273","13,589","9,945","6,280","12,093","15,231","3,369","8,596"
Wednesday,03/12/2014,"7,009","39,039","12,807","11,009","6,735","11,855","15,249","3,082","8,493"
Thursday,04/12/2014,"7,243","42,665","15,007","11,920","7,393","13,802","16,182","3,419","8,632"
Friday,05/12/2014,"8,575","49,547","19,535","15,230","9,897","10,293","20,322","4,333","11,255"
Saturday,06/12/2014,"7,943","64,668","18,796","22,935","12,890","11,495","25,429","6,739","14,582"
Sunday,07/12/2014,"6,111","43,028","15,321","13,638","7,053","12,225","17,356","4,448","10,086"
Monday,08/12/2014,"6,630","40,533","15,708","9,973","6,612","5,282","14,361","3,479","8,853"
Tuesday,09/12/2014,"5,623","32,311","8,860","8,509","5,097","11,378","12,396","2,464","6,894"
Wednesday,10/12/2014,"5,397","30,671","5,968","7,768","5,334","8,341","11,840","2,461","6,995"
Thursday,11/12/2014,"5,430","36,158","2,911","8,476","5,097","10,322","13,168","2,262","7,153"
Friday,12/12/2014,"7,178","47,502","7,983","13,701","8,832","10,454","18,684","3,532","9,741"
Saturday,13/12/2014,"8,476","64,798","17,893","21,194","14,449","23,194","24,992","6,631","12,705"
Sunday,14/12/2014,"5,843","42,828","9,623","13,013","7,551","11,585","16,139","4,460","9,099"
Monday,15/12/2014,"6,893","44,444","10,413","11,726","7,496","18,028","16,175","3,559","9,097"
Tuesday,16/12/2014,"6,929","43,927","7,971","11,506","7,243","17,834","16,208","3,340","8,322"
Wednesday,17/12/2014,"7,335","46,058","8,019","12,011","7,720","14,846","17,261","3,552","9,005"
Thursday,18/12/2014,"6,985","48,792","7,777","12,868","7,825","17,970","17,394","3,040","9,239"
Friday,19/12/2014,"7,065","51,335","6,194","14,598","8,983","14,588","21,137","3,909","10,095"
Saturday,20/12/2014,"8,172","64,136","8,829","20,401","12,871","24,379","24,180","5,864","12,820"
Sunday,21/12/2014,"5,623","46,079","6,056","12,283","7,846","15,098","16,886","2,513","9,392"
Monday,22/12/2014,"7,201","59,723","7,641","15,748","10,556","15,878","21,762","4,534","10,878"
Tuesday,23/12/2014,"7,311","59,833","11,498","16,307","9,152","16,979","20,999","4,533","10,022"
Wednesday,24/12/2014,"5,767","38,844","5,859","9,985","5,784","13,712","14,312","2,992","7,290"
Thursday,25/12/2014,"3,028","7,410","1,360","2,139","1,192","1,088","2,735","1,727","5,456"
Friday,26/12/2014,"4,162","52,345","9,421","12,280","7,133","17,230","15,623","2,901","7,303"
Saturday,27/12/2014,"7,064","51,128","13,813","15,415","9,809","15,416","19,268","4,367","12,131"
Sunday,28/12/2014,"5,678","43,235","13,336","13,758","7,802","13,140","17,260","4,595","12,648"
Monday,29/12/2014,"6,957","54,657","17,319","16,960","10,607","13,948","20,299","5,808","15,185"
Tuesday,30/12/2014,"8,528","59,581","17,833","18,425","7,830","21,302","26,098","6,883","19,294"
Wednesday,31/12/2014,"9,862","38,375","15,158","20,451","10,385","17,042","27,150","8,377","24,123"
