Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Tuesday,01/04/2014,"5,582","36,904","4,853","5,640","4,370","6,706","10,819","6,081","4,527","8,278"
Wednesday,02/04/2014,"6,813","36,455","8,538","8,163","5,997","12,185","12,040","5,510","5,671","9,615"
Thursday,03/04/2014,"6,228","37,192","6,960","8,034","6,211","11,158","12,547","5,562","6,381","10,197"
Friday,04/04/2014,"7,455","37,213","7,211","10,356","7,786","12,246","14,330","5,293","6,686","13,104"
Saturday,05/04/2014,"7,930","38,045","8,142","14,255","11,200","20,798","16,218","4,135","12,920","15,714"
Sunday,06/04/2014,"8,009","26,025","6,157","8,674","5,576","12,158","14,022","2,365","9,007","12,991"
Monday,07/04/2014,"6,699","31,672","8,266","8,093","6,403","10,225","14,673","5,047","7,616","12,505"
Tuesday,08/04/2014,"7,361","32,706","4,026","9,037","7,123","14,340","15,552","5,256","8,483","13,587"
Wednesday,09/04/2014,"7,065","33,961","2,717","8,996","7,329","5,130","15,452","4,875","7,468","13,233"
Thursday,10/04/2014,"7,498","36,621","10,806","10,299","7,762","13,271","15,867","5,520","9,114","13,005"
Friday,11/04/2014,"7,956","38,150","11,963","11,377","9,428","7,546","16,762","5,428","10,145","13,980"
Saturday,12/04/2014,"7,562","39,711","10,919","12,102","10,026","11,807","16,060","3,854","12,922","15,707"
Sunday,13/04/2014,"5,693","26,786","6,101","7,501","5,392","9,006","12,571","2,246","8,978","12,371"
Monday,14/04/2014,"7,333","35,724","9,701","9,166","7,723","13,678","15,902","4,412","10,475","15,348"
Tuesday,15/04/2014,"7,999","35,609","4,029","4,745","7,902","5,695","16,779","4,635","10,287","14,531"
Wednesday,16/04/2014,"7,498","36,255","10,325","10,211","8,548","11,633","16,481","4,549","9,172","15,123"
Thursday,17/04/2014,"7,525","37,959","11,412","11,439","8,695","14,772","16,568","4,459","10,682","15,758"
Friday,18/04/2014,"8,586","40,266","8,519","11,406","9,750","19,588","18,552","4,604","15,083","18,614"
Saturday,19/04/2014,"8,281","41,828","10,291","12,550","10,257","17,456","19,212","3,346","17,722","18,512"
Sunday,20/04/2014,"5,709","28,581","6,907","6,529","5,395","11,685","14,421","2,668","12,789","16,933"
Monday,21/04/2014,"6,607","30,286","7,883","8,069","5,960","9,521","12,769","3,531","9,056","12,929"
Tuesday,22/04/2014,"6,033","27,183","7,841","7,422","6,025","11,694","12,409","4,411","6,043","11,407"
Wednesday,23/04/2014,"6,952","30,561","8,571","8,880","7,038","12,746","13,845","4,579","6,732","13,136"
Thursday,24/04/2014,"7,569","32,036","8,872","9,621","7,259","15,069","14,639","4,731","7,955","13,492"
Friday,25/04/2014,"6,630","32,079","6,003","8,483","7,255","12,450","14,324","4,619","7,004","13,037"
Saturday,26/04/2014,"7,871","40,108","9,672","13,997","11,140","20,842","16,254","4,894","12,684","14,531"
Sunday,27/04/2014,"6,211","26,097","5,165","7,772","5,500","10,627","11,304","3,559","7,550","12,000"
Monday,28/04/2014,"6,774","28,317","4,543","7,611","6,192","9,579","12,779","4,365","6,250","11,783"
Tuesday,29/04/2014,"7,220","30,239","5,872","8,243","6,242","13,536","13,223","4,732","7,560","11,882"
Wednesday,30/04/2014,"5,693","25,469","2,812","5,523","5,335","5,005","11,936","4,669","6,371","11,208"
