Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Saturday,01/02/2014,"6,587","37,258","8,006","12,782","8,233","12,338","13,638","5,188","9,428","11,286"
Sunday,02/02/2014,"6,750","25,911","5,872","7,518","4,649","10,949","11,442","3,708","5,996","8,787"
Monday,03/02/2014,"6,627","25,104","7,134","7,325","4,940","11,093","11,095","5,668","4,019","7,528"
Tuesday,04/02/2014,"6,740","25,288","7,370","7,328","4,970","10,266","11,529","3,706","4,241","7,357"
Wednesday,05/02/2014,"6,168","23,583","5,505","6,891","4,770","8,729","10,900","3,213","3,383","6,978"
Thursday,06/02/2014,"6,581","26,964","7,794","8,736","5,620","10,753","11,977","4,336","5,166","7,658"
Friday,07/02/2014,"7,989","31,944","9,154","10,712","8,189","13,039","15,037","5,811","8,021","10,254"
Saturday,08/02/2014,"8,077","40,300","10,592","16,604","13,883","16,043","15,869","5,102","7,875","12,458"
Sunday,09/02/2014,"5,863","24,011","5,713","7,656","4,450","11,004","11,767","3,296","6,101","8,573"
Monday,10/02/2014,"6,826","26,295","8,017","7,411","5,693","11,375","11,650","4,332","5,396","7,764"
Tuesday,11/02/2014,"6,386","24,752","7,187","7,187","5,346","9,889","11,082","4,172","5,123","7,123"
Wednesday,12/02/2014,"6,108","23,513","6,638","6,678","5,002","11,173","10,639","3,312","3,204","7,059"
Thursday,13/02/2014,"6,531","29,277","7,994","7,981","5,838","12,178","12,026","4,510","5,123","7,510"
Friday,14/02/2014,"6,396","31,188","8,187","9,248","6,592","11,349","12,818","5,544","6,330","8,688"
Saturday,15/02/2014,"7,682","40,079","8,156","13,635","10,323","17,648","15,310","4,559","11,560","14,064"
Sunday,16/02/2014,"6,130","28,176","6,118","8,415","5,531","12,286","12,211","3,745","7,006","11,176"
Monday,17/02/2014,"6,293","29,392","7,568","8,429","6,469","10,040","12,874","4,979","5,667","10,049"
Tuesday,18/02/2014,"6,865","29,309","7,559","8,687","6,552","12,101","12,882","5,066","5,618","9,819"
Wednesday,19/02/2014,"6,971","30,584","8,418","9,064","6,992","11,815","13,447","3,849","4,606","9,735"
Thursday,20/02/2014,"6,211","29,816","7,763","8,618","6,356","11,659","12,754","4,735","6,523","9,647"
Friday,21/02/2014,"7,568","32,980","9,547","10,938","7,529","11,941","14,965","5,198","7,906","11,490"
Saturday,22/02/2014,"7,802","38,445","10,267","13,831","9,797","16,061","15,420","4,268","11,636","13,240"
Sunday,23/02/2014,"5,388","21,249","4,698","6,551","4,121","9,894","10,391","3,024","5,889","8,439"
Monday,24/02/2014,"6,408","23,976","7,088","6,790","5,105","13,400","11,196","4,295","4,839","7,897"
Tuesday,25/02/2014,"6,618","24,456","7,392","7,572","4,310","9,599","11,198","4,532","4,475","7,559"
Wednesday,26/02/2014,"6,561","24,481","7,280","7,119","4,782","9,819","11,009","4,193","5,379","8,087"
Thursday,27/02/2014,"6,534","27,605","8,234","8,039","5,683","8,940","11,858","4,291","5,923","8,296"
Friday,28/02/2014,"8,586","33,844","10,650","10,970","7,698","13,556","15,062","6,864","7,815","10,829"
