Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Sunday,01/06/2014,"6,208","30,415","4,644","8,111","5,547","12,123","13,774","9,273","8,461"
Monday,02/06/2014,"7,402","33,427","4,986","8,793","7,609","15,225","14,952","7,938","9,901"
Tuesday,03/06/2014,"7,088","35,413","6,194","9,640","7,561","16,666","16,864","8,050","8,482"
Wednesday,04/06/2014,"5,016","26,988","5,296","6,446","5,111","14,020","12,849","5,547","8,869"
Thursday,05/06/2014,"7,104","33,214","6,779","9,643","7,680","15,903","14,420","8,102","10,076"
Friday,06/06/2014,"9,060","36,407","3,724","11,054","9,262","4,548","17,079","11,277","11,105"
Saturday,07/06/2014,"6,112","36,319","7,425","11,135","8,741","9,788","14,867","10,471","11,001"
Sunday,08/06/2014,"7,010","33,387","4,404","9,229","6,531","14,621","14,733","11,825","8,912"
Monday,09/06/2014,"5,967","28,705","6,385","7,573","5,566","13,135","12,798","7,768","9,617"
Tuesday,10/06/2014,"7,258","31,748","6,356","8,892","5,772","15,999","13,956","7,956","11,360"
Wednesday,11/06/2014,"7,891","33,883","6,188","9,301","7,175","15,069","15,187","8,748","9,066"
Thursday,12/06/2014,"7,251","35,626","6,410","10,448","7,853","13,432","14,502","8,168","10,506"
Friday,13/06/2014,"7,393","36,910","3,884","10,836","8,930","11,546","16,880","11,120","9,972"
Saturday,14/06/2014,"8,043","42,122","7,442","14,439","10,733","24,536","17,430","13,020","11,930"
Sunday,15/06/2014,"6,312","30,073","4,994","8,245","6,083","15,610","14,272","9,002","9,243"
Monday,16/06/2014,"7,856","32,029","4,276","8,332","6,836","13,961","14,969","10,091","10,535"
Tuesday,17/06/2014,"7,157","32,533","4,167","8,792","7,163","11,570","14,385","8,517","10,536"
Wednesday,18/06/2014,"7,694","33,273","3,745","9,317","7,626","17,556","15,627","9,761","9,401"
Thursday,19/06/2014,"7,861","35,821","6,523","10,121","8,418","15,163","15,856","9,425","9,927"
Friday,20/06/2014,"8,085","37,590","5,312","11,518","9,575","7,322","18,147","11,484","11,729"
Saturday,21/06/2014,"8,526","42,943","8,571","14,124","10,836","11,152","17,743","13,648","11,502"
Sunday,22/06/2014,"6,578","30,915","4,560","9,240","6,134","14,177","14,349","11,582","9,587"
Monday,23/06/2014,"7,046","31,798","6,145","9,193","7,263","15,853","15,010","9,027","10,849"
Tuesday,24/06/2014,"6,834","32,092","7,549","9,147","7,090","17,772","14,611","8,516","10,492"
Wednesday,25/06/2014,"6,922","34,650","7,530","9,552","7,786","16,712","15,231","8,279","10,184"
Thursday,26/06/2014,"7,471","37,692","8,313","10,841","8,026","14,103","15,798","9,204","9,343"
Friday,27/06/2014,"7,850","39,163","10,469","12,040","8,300","13,978","17,802","10,624","9,501"
Saturday,28/06/2014,"7,419","42,666","9,540","13,946","8,891","20,940","17,054","13,024","12,462"
Sunday,29/06/2014,"6,476","31,843","5,905","9,178","6,242","13,535","13,730","9,637","5,675"
Monday,30/06/2014,"7,510","37,591","7,027","9,658","7,940","15,528","16,015","9,251","11,878"
