Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Friday,01/08/2014,"8,824","46,285","7,917","18,650","11,778","10,797","23,152","18,416","15,415"
Saturday,02/08/2014,"7,317","44,633","11,040","14,804","9,653","19,074","21,657","18,533","17,663"
Sunday,03/08/2014,"7,631","38,960","6,053","15,352","7,595","19,225","20,990","18,552","16,601"
Monday,04/08/2014,"8,826","46,293","10,151","7,261","9,318","9,816","23,543","21,406","13,230"
Tuesday,05/08/2014,"8,507","15,779","8,441","18,177","11,455","18,874","23,159","20,897","15,614"
Wednesday,06/08/2014,"8,081","42,733","4,229","16,396","9,833","20,110","23,027","17,949","24,451"
Thursday,07/08/2014,"8,953","48,438","8,997","18,937","11,468","22,686","23,836","21,624","20,401"
Friday,08/08/2014,"7,804","45,595","9,268","17,413","10,959","4,127","23,282","19,125","24,382"
Saturday,09/08/2014,"10,324","42,156","8,515","26,192","15,124","33,869","28,302","20,426","24,237"
Sunday,10/08/2014,"5,842","32,253","7,228","10,850","5,595","15,317","18,414","14,315","19,750"
Monday,11/08/2014,"8,109","47,264","14,334","15,783","8,901","18,060","22,609","17,765","23,764"
Tuesday,12/08/2014,"7,519","45,678","13,427","15,588","7,582","22,845","22,433","17,817","25,907"
Wednesday,13/08/2014,"8,512","46,716","11,081","18,714","10,979","22,259","23,676","19,363","19,700"
Thursday,14/08/2014,"8,521","46,086","10,728","18,327","10,367","21,689","22,905","19,696","18,010"
Friday,15/08/2014,"9,165","50,630","11,409","21,860","12,566","22,551","26,210","24,282","26,078"
Saturday,16/08/2014,"9,300","54,653","14,328","25,182","15,536","27,539","29,392","25,565","32,358"
Sunday,17/08/2014,"7,743","40,969","11,256","15,869","8,812","19,816","21,520","18,673","23,301"
Monday,18/08/2014,"7,992","46,515","11,856","16,074","10,027","18,261","23,127","17,464","23,492"
Tuesday,19/08/2014,"8,063","44,634","11,821","15,900","9,715","17,177","22,156","17,101","24,986"
Wednesday,20/08/2014,"8,357","44,682","12,809","16,461","9,146","16,041","22,427","18,338","21,990"
Thursday,21/08/2014,"6,657","41,540","11,291","14,277","8,263","21,256","16,002","15,417","26,137"
Friday,22/08/2014,"8,554","46,182","6,925","17,584","10,848","7,486","23,141","18,697","20,703"
Saturday,23/08/2014,"10,503","50,575","13,888","22,985","13,996","23,434","26,577","23,171","20,658"
Sunday,24/08/2014,"8,148","40,463","11,115","17,507","8,754","19,414","21,760","21,343","19,630"
Monday,25/08/2014,"7,656","40,962","9,974","10,924","8,929","13,368","18,221","13,318","19,759"
Tuesday,26/08/2014,"7,879","38,791","3,514","9,375","8,116","4,428","18,160","10,607","16,941"
Wednesday,27/08/2014,"7,899","37,355","8,424","9,805","8,278","15,355","16,916","9,749","11,861"
Thursday,28/08/2014,"7,743","38,814","7,042","10,483","8,461","16,596","17,388","8,816","12,346"
Friday,29/08/2014,"6,910","38,713","3,751","10,217","8,946","4,317","17,685","8,218","12,440"
Saturday,30/08/2014,"8,777","44,114","8,622","13,594","11,522","11,222","18,761","12,514","12,750"
Sunday,31/08/2014,"8,210","38,879","5,574","12,456","9,349","8,579","18,023","9,371","9,514"
