Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Monday,1/4/13,"35,348","7,630","10,218","7,518","13,271","3,633","10,037","11,822",,
Tuesday,2/4/13,"38,031","10,323","10,599","7,661","15,003","6,268","8,684","11,911",,
Wednesday,3/4/13,"37,580","9,023","9,353","7,708","16,350","5,674","9,425","13,228",,
Thursday,4/4/13,"38,335","9,356","9,857","8,239","16,372","5,736","9,144","12,459",,
Friday,5/4/13,"38,361","9,929","11,971","10,171","17,479","5,450","9,893","13,219",,
Saturday,6/4/13,"39,222","10,487","12,786","11,968","21,437","4,256","12,645","13,507",,
Sunday,7/4/13,"26,821","5,876","7,908","5,644","4,740","2,435","7,431","9,315",,
Monday,8/4/13,"32,646","9,010","8,670","7,244","4,594","5,203","7,112","10,302",,
Tuesday,9/4/13,"33,711","9,239","8,516","7,598","11,561","5,414","7,581","11,087",,
Wednesday,10/4/13,"32,416","9,075","9,052","6,489","14,602","5,020","6,941","10,607",,
Thursday,11/4/13,"36,958","10,154","10,526","7,737","15,963","5,680","7,586","10,335",,
Friday,12/4/13,"37,240","10,015","10,183","9,033","16,197","5,594","7,268","11,089",,
Saturday,13/04/2013,"38,351","9,918","13,096","10,897","19,275","3,972","11,395","12,379",,
Sunday,14/04/2013,"23,421","4,869","6,276","4,873","5,300","2,312","7,149","10,027",#REF!,
Monday,15/04/2013,"28,423","6,950","6,982","5,417","9,371","4,550","5,745","8,565",,
Tuesday,16/04/2013,"27,322","7,666","7,104","5,515","12,400","4,777","5,952","9,679",,
Wednesday,17/04/2013,"25,536","7,235","7,107","4,608","11,709","4,691","4,865","8,793",,
Thursday,18/04/2013,"31,574","8,480","8,632","6,087","13,609","4,595","6,820","10,163",,
Friday,19/04/2013,"34,952","8,462","9,979","8,314","15,526","4,747","10,220","11,218",,
Saturday,20/04/2013,"39,212","10,131","13,320","11,530","12,774","3,446","13,757","13,791",,
Sunday,21/04/2013,"25,955","5,383","7,068","5,225","6,086","1,886","8,053","9,524",#REF!,
Monday,22/04/2013,"27,584","7,579","7,097","6,358","9,335","4,104","6,704","10,288",,
Tuesday,23/04/2013,"28,714","6,801","7,099","6,255","13,227","4,542","6,295","9,882",,
Wednesday,24/04/2013,"29,743","6,883","7,683","6,504","12,761","4,715","6,829","10,009",,
Thursday,25/04/2013,"32,720","8,211","8,784","6,461","14,094","4,873","7,400","9,562",,
Friday,26/04/2013,"35,970","9,315","9,680","8,487","14,904","4,758","8,805","11,730",,
Saturday,27/04/2013,"39,410","10,657","14,677","11,324","15,085","3,989","13,903","13,116",,
Sunday,28/04/2013,"26,930","5,838","7,297","5,039","6,009","1,998","7,813","10,216",#REF!,
Monday,29/04/2013,"29,457","7,579","7,116","6,594","11,327","4,497","7,483","10,648",,
Tuesday,30/04/2013,"32,543","7,915","8,101","7,173","11,725","4,880","7,774","10,419",,
