Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Sunday,1/9/13,"7,540","38,013","5,161","11,782","9,573","13,522","15,576","3,484","8,461","12,099"
Monday,2/9/13,"7,170","36,661","6,565","9,286","8,495","13,249","15,105","5,837","8,518","10,668"
Tuesday,3/9/13,"7,384","34,661","4,795","9,576","7,851","16,437","13,897","5,487","8,289","10,219"
Wednesday,4/9/13,"7,744","35,429","4,855","9,979","8,416","15,235","14,058","5,606","8,600","10,580"
Thursday,5/9/13,"7,292","38,913","6,236","10,283","7,856","14,539","14,225","5,643","8,729","10,702"
Friday,6/9/13,"6,392","36,338","4,783","9,917","6,998","14,688","14,393","5,220","7,094","10,592"
Saturday,7/9/13,"7,657","44,013","7,081","12,791","11,508","19,876","15,916","4,260","12,193","12,206"
Sunday,8/9/13,"6,556","33,861","4,818","8,877","6,780","15,220","13,171","3,135","9,870","15,271"
Monday,9/9/13,"7,521","36,528","6,430","9,733","7,969","15,219","14,345","5,450","8,869","10,948"
Tuesday,10/9/13,"7,665","36,773","6,447","9,899","8,540","15,555","14,690","5,616","8,724","10,854"
Wednesday,11/9/13,"7,264","34,974","6,034","9,915","6,517","14,576","14,357","5,257","8,303","10,635"
Thursday,12/9/13,"7,527","37,668","6,454","10,844","7,800","14,944","14,784","5,338","8,981","9,714"
Friday,13/09/2013,"7,951","40,436","7,661","12,028","9,358","16,607","16,504","5,415","10,128","11,685"
Saturday,14/09/2013,"8,238","44,269","7,543","13,911","11,236","17,762","16,213","4,279","13,422","10,554"
Sunday,15/09/2013,"5,534","26,952","3,681","7,053","4,695","11,208","11,458","2,254","6,902","9,469"
Monday,16/09/2013,"7,097","37,263","7,761","8,777","7,397","15,032","14,572","4,415","7,773","10,345"
Tuesday,17/09/2013,"7,689","35,362","7,559","8,927","7,669","13,841","13,727","5,412","7,879","10,455"
Wednesday,18/09/2013,"7,360","36,303","7,803","9,260","7,617","13,897","14,299","5,242","8,070","10,499"
Thursday,19/09/2013,"6,507","32,667","6,931","8,814","6,720","11,590","12,479","4,543","6,050","10,187"
Friday,20/09/2013,"8,595","39,922","7,545","11,801","10,468","17,550","16,566","5,596","10,145","12,066"
Saturday,21/09/2013,"9,739","42,784","7,434","15,601","12,731","21,572","17,691","4,155","12,234","12,121"
Sunday,22/09/2013,"6,756","31,403","3,787","8,277","6,641","14,290","12,876","3,102","8,602","9,320"
Monday,23/09/2013,"7,315","31,987","5,521","8,765","7,654","15,499","12,991","5,181","7,764","9,220"
Tuesday,24/09/2013,"6,992","32,143","6,014","8,267","6,917","12,259","13,053","4,729","5,404","9,970"
Wednesday,25/09/2013,"6,858","30,901","4,663","8,068","6,616","11,346","12,215","4,350","6,320","9,310"
Thursday,26/09/2013,"7,255","37,288","6,897","9,617","8,442","14,033","14,071","4,836","7,607","10,095"
Friday,27/09/2013,"8,298","40,128","8,003","12,661","10,537","16,840","15,821","4,740","8,109","11,732"
Saturday,28/09/2013,"9,520","45,125","9,067","16,984","14,019","20,960","18,261","3,795","16,654","13,036"
Sunday,29/09/2013,"7,260","32,146","5,940","9,478","6,469","12,952","13,615","2,326","9,779","9,335"
Monday,30/09/2013,"7,284","31,650","3,538","8,728","6,710","6,427","12,983","3,232","6,741","8,593"
