Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Sunday,1/12/13,"7,002","46,005","8,622","14,600","8,343","12,498","17,097","3,610","4,929","9,629"
Monday,2/12/13,"6,939","38,430","10,395","11,393","7,271","13,500","13,500","5,123","3,445","7,566"
Tuesday,3/12/13,"6,814","35,644","8,028","10,210","6,785","12,210","12,477","4,892","3,098","8,078"
Wednesday,4/12/13,"6,791","37,715","9,025","10,304","6,957","9,301","13,151","4,848","4,650","7,832"
Thursday,5/12/13,"5,708","30,938","6,274","8,460","5,357","10,336","11,476","4,222","4,701","7,251"
Friday,6/12/13,"7,738","46,552","4,291","15,348","9,151","13,579","17,365","5,226","7,012","9,566"
Saturday,7/12/13,"9,051","61,026","11,550","24,337","16,261","19,548","23,153","4,416","6,683","13,194"
Sunday,8/12/13,"6,336","41,420","5,122","13,568","7,542","14,379","15,253","3,303","4,522","8,610"
Monday,9/12/13,"6,946","39,185","9,707","11,149","7,337","15,254","13,365","5,017","6,022","8,372"
Tuesday,10/12/13,"7,031","38,109","9,743","11,819","7,386","14,877","13,407","4,970","5,704","7,996"
Wednesday,11/12/13,"7,107","39,688","10,943","11,867","7,756","13,303","13,934","4,783","6,075","7,535"
Thursday,12/12/13,"7,092","44,975","10,519","13,643","8,085","17,432","14,880","4,742","6,434","8,464"
Friday,13/12/2013,"7,818","47,816","12,137","15,627","10,211","20,805","17,959","5,408","8,891","10,527"
Saturday,14/12/2013,"7,213","50,576","14,799","19,467","12,035","21,072","19,967","3,853","6,229","11,632"
Sunday,15/12/2013,"6,035","41,390","11,383","13,034","7,138","16,916","14,880","3,606","5,922","8,515"
Monday,16/12/2013,"6,608","42,005","12,136","12,388","7,210","11,972","13,793","4,868","5,960","8,564"
Tuesday,17/12/2013,"7,083","44,415","12,313","13,877","8,048","11,985","14,989","5,111","4,211","8,874"
Wednesday,18/12/2013,"6,931","42,995","10,524","13,299","8,157","17,623","14,699","4,871","4,211","9,126"
Thursday,19/12/2013,"6,907","49,042","12,374","15,087","9,118","18,992","16,371","4,932","6,758","8,960"
Friday,20/12/2013,"7,151","47,150","11,348","15,751","9,534","21,580","17,372","5,058","3,933","9,102"
Saturday,21/12/2013,"7,154","50,778","10,263","18,036","11,171","21,628","17,612","3,963","4,867","9,848"
Sunday,22/12/2013,"5,265","42,035","11,737","13,528","7,044","20,356","14,028","2,808","4,386","8,310"
Monday,23/12/2013,"6,016","48,457","11,418","14,122","8,545","16,029","14,910","4,107","3,575","8,048"
Tuesday,24/12/2013,"5,655","35,334","10,409","9,643","6,162","15,710","10,890","3,664","3,732","6,441"
Wednesday,25/12/2013,"2,405","4,907","1,204","1,603","1,288","1,442","1,852",785,"2,727","4,889"
Thursday,26/12/2013,"4,290","47,264","8,952","14,646","7,086","20,571","13,548","2,727","3,061","6,502"
Friday,27/12/2013,"4,726","37,875","5,102","12,835","6,443","9,610","12,842","2,856","3,495","7,860"
Saturday,28/12/2013,"6,250","46,851","12,863","17,956","10,611","24,517","16,402","3,468","7,130","12,521"
Sunday,29/12/2013,"6,329","38,864","10,683","14,348","8,283","14,326","15,258","2,958","8,904","12,000"
Monday,30/12/2013,"6,341","40,290","6,433","10,764","9,430","9,317","18,499","3,270","5,341","18,542"
Tuesday,31/12/2013,"9,660","37,592","11,965","26,148","12,067","25,637","19,380","6,250","11,976","24,022"
