Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Friday,1/3/13,"35,899","5,581","10,210","8,164","2,574","4,791","9,081","9,652",,
Saturday,2/3/13,"41,575","7,940","14,892","11,432","15,159","4,017","13,026","11,598",,
Sunday,3/3/13,"27,378","4,467","7,098","5,258","4,005","2,217","7,228","7,790",,
Monday,4/3/13,"27,446","5,959","6,902","5,829",869,"4,678","5,599","6,925",,
Tuesday,5/3/13,"28,876","5,903","7,130","6,123","10,175","4,501","5,646","7,380",,
Wednesday,6/3/13,"27,357","5,907","6,280","5,820","11,025","4,512","3,852","5,833",,
Thursday,7/3/13,"29,544","5,012","7,775","6,755","9,123","4,301","5,397","8,157",,
Friday,8/3/13,"39,355","7,727","10,550","10,700","14,913","4,693","6,235","9,043",,
Saturday,9/3/13,"42,543","7,671","16,856","16,142","17,407","10,037","11,861","9,647",,
Sunday,10/3/13,"24,222","4,949","6,671","5,445","10,123","2,789","6,371","7,722",,
Monday,11/3/13,"24,066","5,436","5,157","3,562","8,938","4,554","4,118","7,368",,
Tuesday,12/3/13,"27,881","6,282","6,380","4,952","11,329","4,577","5,076","8,455",,
Wednesday,13/03/2013,"30,336","7,410","7,195","5,552","12,616","4,851","5,699","8,335",,
Thursday,14/03/2013,"31,874","7,591","8,257","6,259","12,035","4,526","5,506","7,780",,
Friday,15/03/2013,"35,117","7,828","10,217","8,132","13,986","4,779","8,143","10,156",,
Saturday,16/03/2013,"32,201","6,683","10,265","7,338","13,352","2,884","6,955","10,656",,
Sunday,17/03/2013,"24,756","4,780","6,707","4,200","9,625","2,041","6,046","8,377",,
Monday,18/03/2013,"23,658","5,246","5,607","4,665","7,853","3,952","4,033","7,341",,
Tuesday,19/03/2013,"21,429","2,982","5,586","4,165","6,229","3,476","3,292","6,614",,
Wednesday,20/03/2013,"29,245","7,793","7,972","5,618","11,290","4,487","5,249","8,619",,
Thursday,21/03/2013,"32,303","7,837","7,868","5,948","13,420","4,589","5,614","8,332",,
Friday,22/03/2013,"30,959","8,367","9,280","7,198","13,450","4,509","5,837","9,122",,
Saturday,23/03/2013,"38,438","9,268","12,447","8,455","17,939","3,368","8,639","10,556",,
Sunday,24/03/2013,"24,944","5,342","7,163","4,678","9,272","1,921","6,862","9,263",,
Monday,25/03/2013,"30,931","7,803","8,028","6,377","13,388","4,169","6,572","9,748",,
Tuesday,26/03/2013,"31,772","7,991","8,118","6,244","14,055","4,709","6,674","10,071",,
Wednesday,27/03/2013,"33,151","8,035","8,210","6,480","13,725","4,521","7,095","10,925",,
Thursday,28/03/2013,"39,103","9,650","11,082","8,047","16,914","5,374","8,311","11,193",,
Friday,29/03/2013,"41,070","9,763","12,624","9,285","19,281","4,339","11,661","14,465",,
Saturday,30/03/2013,"44,625","11,280","15,502","11,865","18,535","4,090","18,882","15,020",,
Sunday,31/03/2013,"27,418","5,812","8,347","6,344","11,498","2,750","10,462","12,995",,
