Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Friday,1/11/13,"8,723","43,292","8,818","12,748","9,831","14,763","16,472","7,033","12,250","12,732"
Saturday,2/11/13,"7,311","44,495","8,711","13,709","8,935","16,050","14,316","4,498","8,990","12,950"
Sunday,3/11/13,"6,617","33,038","4,253","7,851","5,509","10,791","12,291","4,946","7,424","10,017"
Monday,4/11/13,"7,103","30,638","5,338","7,977","6,021","8,300","11,380","8,050","5,943","8,578"
Tuesday,5/11/13,"7,182","29,733","5,538","7,889","5,628","9,954","11,830","5,344","3,388","8,098"
Wednesday,6/11/13,"6,955","30,141","7,575","8,181","5,307","11,523","11,462","5,919","3,444","7,578"
Thursday,7/11/13,"6,358","33,012","7,920","8,929","5,694","11,210","12,040","5,367","3,985","7,563"
Friday,8/11/13,"7,733","38,417","9,214","11,098","8,177","12,530","14,298","7,283","4,601","10,142"
Saturday,9/11/13,"8,022","46,785","12,347","16,140","11,031","17,662","15,008","5,846","7,844","12,127"
Sunday,10/11/13,"6,537","32,454","7,816","9,484","5,669","11,942","11,671","4,408","4,706","8,471"
Monday,11/11/13,"6,848","29,231","6,395","8,037","5,843","9,773","10,967","5,594","4,214","7,695"
Tuesday,12/11/13,"6,506","30,168","7,292","8,056","5,965","9,553","11,464","5,202","3,227","7,099"
Wednesday,13/11/2013,"6,941","31,880","7,446","9,060","6,284","10,068","11,653","6,110","3,989","7,902"
Thursday,14/11/2013,"6,907","35,712","8,391","9,717","6,704","11,228","12,287","6,496","5,895","7,677"
Friday,15/11/2013,"7,796","40,512","8,536","12,092","8,414","8,368","14,575","5,785","4,972","9,717"
Saturday,16/11/2013,"8,448","50,945","8,334","18,723","12,039","20,294","16,968","5,687","10,263","13,347"
Sunday,17/11/2013,"5,897","34,141","6,833","10,379","6,827","8,701","11,417","5,093","5,443","9,397"
Monday,18/11/2013,"6,681","31,882","8,140","8,012","5,788","11,362","11,109","7,071","5,442","7,798"
Tuesday,19/11/2013,"6,359","32,092","9,057","8,321","5,803","11,769","11,423","5,957","3,310","6,887"
Wednesday,20/11/2013,"6,446","31,954","8,389","8,445","5,938","11,441","10,817","5,753","4,618","7,339"
Thursday,21/11/2013,"6,941","36,102","9,103","9,848","6,539","11,068","12,092","7,546","5,727","7,060"
Friday,22/11/2013,"7,675","43,710","11,776","12,388","7,633","10,741","16,181","7,784","5,699","9,353"
Saturday,23/11/2013,"8,935","56,387","15,261","22,882","15,258","8,737","19,342","5,805","10,168","11,601"
Sunday,24/11/2013,"7,197","45,839","12,346","17,764","9,399","16,484","18,038","3,357","4,750","9,639"
Monday,25/11/2013,"6,799","34,604","7,080","9,262","6,308","11,059","12,111","4,985","3,223","7,769"
Tuesday,26/11/2013,"6,232","29,676","4,540","7,734","6,012","8,229","11,104","4,244","2,880","7,647"
Wednesday,27/11/2013,"7,089","35,733","6,919","10,551","6,544","10,123","13,591","4,912","3,514","8,511"
Thursday,28/11/2013,"7,312","42,299","10,892","12,433","7,552","15,047","15,113","6,203","11,297","9,778"
Friday,29/11/2013,"7,875","49,700","11,680","15,161","10,151","18,479","18,966","7,629","7,948","10,621"
Saturday,30/11/2013,"8,812","64,929","15,546","25,843","15,913","24,842","24,265","5,576","11,088","15,231"
