Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Wednesday,1/5/13,"30,405","7,838","8,136","7,385","12,179","4,815","7,166","11,652",,
Thursday,2/5/13,"34,753","9,189","9,432","8,811","11,255","6,824","7,955","10,350",,
Friday,3/5/13,"32,789","7,964","9,386","8,589","16,585","4,535","8,142","12,439",,
Saturday,4/5/13,"42,113","12,903","14,739","13,078","17,871","3,568","13,573","14,235",,
Sunday,5/5/13,"30,453","6,630","9,779","8,314","4,242","2,550","10,366","12,169",,
Monday,6/5/13,"35,875","7,751","10,077","8,868","12,730","3,478","8,924","10,873",,
Tuesday,7/5/13,"33,645","6,665","8,062","8,024","11,578","4,978","8,491","10,784",,
Wednesday,8/5/13,"31,828","7,469","7,999","7,085","12,024","4,498","7,893","11,522",,
Thursday,9/5/13,"34,326","8,412","9,339","8,127","10,125","4,522","7,511","10,840",,
Friday,10/5/13,"36,627","9,398","10,217","9,121","17,980","4,879","8,824","12,981",,
Saturday,11/5/13,"39,542","10,701","13,141","11,154","19,823","3,078","12,082","13,594",,
Sunday,12/5/13,"25,799","5,339","6,870","5,098","6,689","1,951","7,483","10,051",,
Monday,13/05/2013,"6,077","27,902","7,404","6,600","5,515","11,370","4,243","5,968","9,942",
Tuesday,14/05/2013,"6,992","30,429","8,025","7,903","6,413","12,079","4,459","6,455","10,860",
Wednesday,15/05/2013,"6,847","31,076","7,886","8,061","7,194","10,914","4,580","6,975","10,809",
Thursday,16/05/2013,"7,480","35,167","8,527","9,099","7,173","10,714","4,989","8,193","11,109",
Friday,17/05/2013,"8,704","35,258","8,201","10,256","9,237","16,403","5,008","10,692","13,177",
Saturday,18/05/2013,"5,667","28,184","7,092","9,169","7,240","18,118","2,460","7,420","11,235",
Sunday,19/05/2013,"6,232","28,749","5,963","7,982","6,677","6,138","2,474","8,595","11,849",
Monday,20/05/2013,"7,039","32,363","5,465","8,350","7,565","9,829","14,972","4,139","6,900","11,072"
Tuesday,21/05/2013,"8,219","33,840","6,696","9,094","7,336","8,441","16,459","4,633","7,856","11,201"
Wednesday,22/05/2013,"7,506","32,868","7,868","7,696","6,439","11,381","14,993","4,354","7,181","11,103"
Thursday,23/05/2013,"7,017","35,691","8,977","9,288","7,107","10,406","14,898","4,594","7,250","11,322"
Friday,24/05/2013,"9,093","37,018","9,620","10,910","7,803","16,885","18,292","4,989","10,200","12,581"
Saturday,25/05/2013,"9,848","52,658","11,285","13,489","11,765","18,651","19,751","3,999","14,900","14,900"
Sunday,26/05/2013,"8,257","34,334","6,517","9,527","7,236","6,304","18,014","2,597","11,082","13,104"
Monday,27/05/2013,"7,336","35,730","8,495","9,788","8,074","10,875","14,200","3,805","9,235","14,891"
Tuesday,28/05/2013,"7,946","35,206","9,271","9,775","8,537","10,109","15,379","4,894","8,486","12,461"
Wednesday,29/05/2013,"7,300","34,902","7,608","9,841","8,256","11,662","14,863","4,735","8,010","12,614"
Thursday,30/05/2013,"8,320","37,818","7,254","11,339","9,010","12,484","16,025","5,073","9,635","12,550"
Friday,31/05/2013,"8,670","38,561","8,387","12,036","11,125","19,045","16,785","5,190","11,889","13,252"
