Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Saturday,1/3/14,"8,206","41,367","12,027","15,602","10,240","15,459","16,265","5,093","10,949","13,511"
Sunday,2/3/14,"5,749","25,253","5,639","7,691","4,682","9,991","10,843","2,148","5,607","9,412"
Monday,3/3/14,"6,894","25,600","7,583","7,219","5,287","9,115","11,597","4,541","5,982","9,031"
Tuesday,4/3/14,"6,766","25,835","7,808","7,271","5,348","10,416","11,829","4,323","5,795","8,171"
Wednesday,5/3/14,"7,061","26,294","8,310","8,327","5,963","10,179","12,229","3,566","5,849","8,703"
Thursday,6/3/14,"6,621","27,983","7,575","8,370","5,742","10,805","11,936","4,358","6,003","8,598"
Friday,7/3/14,"7,599","33,056","9,411","10,118","8,944","13,022","14,696","4,557","10,688","14,206"
Saturday,8/3/14,"8,370","43,634","11,727","17,629","15,096","18,650","17,897","9,737","14,556","14,607"
Sunday,9/3/14,"5,659","25,935","5,421","8,089","5,539","10,113","11,354","3,568","6,763","10,941"
Monday,10/3/14,"7,045","23,125","7,205","7,252","5,895","12,191","11,734","4,546","5,942","9,073"
Tuesday,11/3/14,"7,304","29,725","7,244","7,178","5,923","10,727","12,215","4,443","6,328","9,300"
Wednesday,12/3/14,"7,594","22,351","7,657","7,442","6,066","9,222","12,804","4,711","6,324","8,952"
Thursday,13/03/2014,"7,181","32,720","7,896","8,400","6,381","9,579","12,208","4,392","5,732","9,155"
Friday,14/03/2014,"7,624","34,073","8,863","9,944","8,069","12,573","14,145","4,643","8,080","10,463"
Saturday,15/03/2014,"7,728","31,240","10,968","14,735","10,413","7,538","16,076","2,805","11,761","13,640"
Sunday,16/03/2014,"6,241","33,593","6,112","7,983","5,386","11,651","11,892","1,974","7,073","10,471"
Monday,17/03/2014,"6,656","22,956","7,579","7,173","5,746","8,279","11,427","3,838","7,255","9,491"
Tuesday,18/03/2014,"6,619","20,790","8,025","7,738","5,672","10,598","11,254","3,368","5,669","8,893"
Wednesday,19/03/2014,"6,972","28,375","8,812","7,969","5,962","10,717","12,270","4,357","5,871","8,990"
Thursday,20/03/2014,"5,609","31,337","7,267","7,063","4,843","9,238","11,315","4,459","4,910","8,359"
Friday,21/03/2014,"7,038","30,033","9,747","9,757","7,301","10,610","14,422","4,377","6,386","10,995"
Saturday,22/03/2014,"7,789","37,290","10,380","14,603","10,498","21,632","16,534","3,272","12,696","13,673"
Sunday,23/03/2014,"6,148","24,204","5,346","7,673","5,144","10,739","11,954","1,862","8,954","10,720"
Monday,24/03/2014,"7,087","30,017","7,872","7,165","4,870","10,801","12,452","4,050","6,952","10,057"
Tuesday,25/03/2014,"6,698","30,824","8,167","8,096","6,094","8,369","12,527","4,573","4,903","9,244"
Wednesday,26/03/2014,"7,220","22,262","8,204","7,737","5,844","9,857","12,712","3,297","6,483","9,838"
Thursday,27/03/2014,"6,466","37,938","8,611","8,987","6,002","12,081","12,265","5,217","5,844","9,046"
Friday,28/03/2014,"7,653","39,846","10,667","11,094","7,680","14,274","15,447","4,210","8,752","11,207"
Saturday,29/03/2014,"7,644","55,982","12,318","15,784","10,932","18,261","16,209","5,605","12,098","13,612"
Sunday,30/03/2014,"5,888","30,707","6,526","6,604","4,683","9,428","10,740","3,383","7,225","9,595"
Monday,31/03/2014,"6,475","28,536","7,528","7,516","5,647","9,159","11,666","5,047","5,175","9,106"
