Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Tuesday,1/7/14,"8,010","36,683","6,166","9,926","7,554","14,371","16,645","10,038","11,574",
Wednesday,2/7/14,"7,055","36,128","3,445","9,716","7,717","14,499","15,907","8,940","10,729",
Thursday,3/7/14,"7,707","38,967","8,099","11,305","8,006","17,861","17,225","10,152","11,948",
Friday,4/7/14,"6,992","36,784","7,752","12,189","9,240","17,277","16,456","10,088","12,838",
Saturday,5/7/14,"7,561","42,595","8,892","14,250","11,317","22,885","18,359","13,647","13,552",
Sunday,6/7/14,"5,885","31,097","5,256","8,729","5,836","12,769","14,204","9,293","11,051",
Monday,7/7/14,"7,099","36,851","7,083","9,534","7,825","16,294","16,901","9,990","13,046",
Tuesday,8/7/14,"6,361","33,963","6,432","8,805","7,149","17,343","15,410","9,838","12,511",
Wednesday,9/7/14,"7,355","36,841","2,869","9,902","8,277","13,716","17,192","10,406","11,238",
Thursday,10/7/14,"7,906","38,965","6,068","10,624","8,471","11,910","18,226","10,947","10,650",
Friday,11/7/14,"7,762","38,697","5,757","11,483","10,152","18,284","18,239","11,898","11,985",
Saturday,12/7/14,"6,409","39,936","5,181","12,167","10,004","16,883","16,211","12,213","12,177",
Sunday,13/07/2014,"6,464","30,705","4,003","8,141","6,369","13,223","15,101","10,577","10,798",
Monday,14/07/2014,"6,306","35,421","6,273","9,090","7,047","17,532","18,012","9,498","12,120",
Tuesday,15/07/2014,"7,228","38,018","3,319","9,921","8,363","4,563","17,171","10,572","13,741",
Wednesday,16/07/2014,"6,650","36,787","2,778","9,501","7,710","5,481","16,677","10,302","11,107",
Thursday,17/07/2014,"7,587","38,853","4,891","10,755","8,657","18,323","17,368","10,934","10,039",
Friday,18/07/2014,"7,391","40,099","3,774","11,789","9,668","8,458","17,541","12,182","13,651",
Saturday,19/07/2014,"5,871","39,607","9,021","11,456","9,167","11,917","16,452","16,760","16,223",
Sunday,20/07/2014,"6,936","35,675","3,513","11,186","7,830","13,633","17,693","16,962","13,740",
Monday,21/07/2014,"7,121","37,011","5,187","10,300","8,607","15,932","17,703","11,750","12,501",
Tuesday,22/07/2014,"7,567","38,750","3,727","11,303","9,141","4,972","18,442","12,136","12,133",
Wednesday,23/07/2014,"7,767","38,258","6,201","9,977","7,814","15,695","18,253","11,418","11,937",
Thursday,24/07/2014,"7,625","39,136","6,022","10,192","8,666","17,750","18,519","12,084","14,121",
Friday,25/07/2014,"8,337","40,227","6,658","12,264","10,061","7,505","19,769","10,435","14,026",
Saturday,26/07/2014,"6,994","42,413","8,630","12,480","10,551","11,303","18,831","12,285","14,161",
Sunday,27/07/2014,"6,815","34,354","5,223","8,501","6,331","14,298","16,732","12,517","14,322",
Monday,28/07/2014,"7,942","40,162","5,875","10,989","9,082","17,539","19,378","13,596","11,806",
Tuesday,29/07/2014,"7,989","41,344","7,406","11,775","9,559","19,527","18,934","13,432","13,040",
Wednesday,30/07/2014,"8,033","41,793","7,705","12,113","8,038","17,028","19,164","13,832","11,901",
Thursday,31/07/2014,"7,997","44,418","8,295","14,668","9,899","22,949","20,610","15,134","14,717",
