Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Monday,1/9/14,"7,010","36,176","7,087","9,978","7,792","16,598","16,372","8,101","11,454",
Tuesday,2/9/14,"7,142","34,978","7,390","8,791","7,928","13,472","15,093","7,463","11,304",
Wednesday,3/9/14,"6,914","34,938","6,593","9,135","7,584","12,513","15,182","7,018","10,737",
Thursday,4/9/14,"7,013","38,675","6,217","9,808","8,114","13,921","16,118","7,607","11,898",
Friday,5/9/14,"6,539","36,234","7,106","9,366","8,048","12,547","15,912","7,484","11,923",
Saturday,6/9/14,"7,975","43,805","8,592","13,483","11,434","11,290","18,348","11,690","12,181",
Sunday,7/9/14,"6,667","33,957","5,415","8,549","6,238","8,718","15,529","9,671","12,830",
Monday,8/9/14,"7,345","36,726","8,737","9,174","7,257","13,210","15,800","8,448","10,801",
Tuesday,9/9/14,"7,505","36,426","3,796","10,203","7,305","5,117","16,651","7,683","10,979",
Wednesday,10/9/14,"7,732","36,410","8,283","9,695","7,337","14,312","16,913","8,109","12,222",
Thursday,11/9/14,"7,587","37,076","8,432","10,339","7,539","14,688","16,654","7,947","11,465",
Friday,12/9/14,"7,972","41,044","7,933","12,017","9,121","11,995","18,904","9,230","12,722",
Saturday,13/09/2014,"8,783","43,641","8,726","13,728","10,934","17,378","19,983","11,793","13,239",
Sunday,14/09/2014,"6,563","33,793","6,429","8,948","6,350","11,894","14,774","8,124","10,951",
Monday,15/09/2014,"5,503","30,955","3,523","4,963","5,246","5,864","14,176","5,353","10,889",
Tuesday,16/09/2014,"7,361","35,849","3,361","9,224","7,308","4,644","16,548","7,736","11,350",
Wednesday,17/09/2014,"7,461","37,458","8,411","9,290","7,329","12,319","17,074","7,802","11,504",
Thursday,18/09/2014,"8,501","37,288","8,574","9,717","7,875","11,890","17,263","8,658","12,704",
Friday,19/09/2014,"7,893","39,349","9,057","10,646","8,026","12,487","18,213","8,458","13,465",
Saturday,20/09/2014,"8,255","45,531","8,967","13,986","10,260","18,848","18,658","11,186","11,932",
Sunday,21/09/2014,"7,067","33,886","6,540","8,367","5,269","9,759","15,382","8,245","10,934",
Monday,22/09/2014,"7,232","31,453","8,883","7,712","6,415","12,760","14,656","6,703","10,158",
Tuesday,23/09/2014,"6,914","31,456","8,133","8,024","6,357","12,955","14,468","6,358","9,626",
Wednesday,24/09/2014,"7,302","34,293","9,219","8,596","6,277","13,398","15,383","6,541","10,306",
Thursday,25/09/2014,"7,347","35,210","9,178","9,399","6,795","12,285","15,961","5,793","9,313",
Friday,26/09/2014,"7,913","40,055","6,556","10,763","8,252","7,529","19,083","7,489","11,211",
Saturday,27/09/2014,"8,552","48,394","11,949","14,830","10,552","18,118","20,228","10,976","13,762",
Sunday,28/09/2014,"6,890","31,483","5,874","9,780","5,304","9,655","15,031","6,404","8,395",
Monday,29/09/2014,"7,012","31,906","3,439","8,608","6,522","5,738","14,805","6,522","9,227",
Tuesday,30/09/2014,"7,190","31,821","5,868","8,775","6,556","9,673","14,526","5,695","9,441",
