Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Thursday,1/5/14,"6,469","31,520","7,831","7,718","6,783","11,391","13,166","6,625","8,253","12,956"
Friday,2/5/14,"8,467","36,417","9,592","10,460","8,849","19,210","16,683","4,395","11,379","17,144"
Saturday,3/5/14,"8,642","41,434","10,604","13,848","11,380","23,982","16,382","3,464","13,611","15,509"
Sunday,4/5/14,"6,386","28,201","5,649","9,050","6,808","13,810","12,773","2,468","8,790","14,802"
Monday,5/5/14,"6,871","33,528","8,000","8,889","6,859","12,633","13,287","3,377","8,094","13,293"
Tuesday,6/5/14,"7,036","29,331","4,132","7,655","6,789","11,611","13,026","4,835","7,431","12,789"
Wednesday,7/5/14,"6,940","28,291","2,746","7,569","6,402","5,115","13,068","4,369","6,593","11,794"
Thursday,8/5/14,"6,793","30,950","4,820","9,254","6,908","10,072","13,026","4,391","7,145","12,571"
Friday,9/5/14,"8,038","34,398","6,233","10,246","8,556","6,910","14,891","4,741","10,363","15,419"
Saturday,10/5/14,"8,102","38,848","10,328","13,074","9,668","20,842","14,652","2,984","11,564","16,248"
Sunday,11/5/14,"6,049","25,661","5,198","7,398","5,308","12,712","10,137","1,892","7,489","11,833"
Monday,12/5/14,"6,760","28,539","8,116","7,850","6,541","11,511","12,962","4,736","6,477","11,985"
Tuesday,13/05/2014,"6,552","28,995","4,847","7,404","6,011","5,613","13,208","4,207","6,560","10,233"
Wednesday,14/05/2014,"7,198","30,317","2,733","8,309","6,368","5,160","13,570","3,427","7,243","9,309"
Thursday,15/05/2014,"7,226","31,943","8,060","9,123","7,617","16,088","13,685","4,791","8,800","10,638"
Friday,16/05/2014,"8,289","34,014","6,806","11,015","8,917","15,651","16,492","4,862","11,790","12,017"
Saturday,17/05/2014,"7,729","40,524","8,506","13,699","11,186","22,274","15,977","2,382","13,848","9,986"
Sunday,18/05/2014,"6,256","28,493","6,176","9,420","6,097","5,654","12,365","2,398","8,868","7,005"
Monday,19/05/2014,"7,203","33,033","7,410","8,107","7,088","15,215","14,333","4,018","8,259","8,867"
Tuesday,20/05/2014,"6,670","30,471","8,123","7,947","6,948","14,572","13,152","4,491","7,416","10,150"
Wednesday,21/05/2014,"7,885","31,684","6,146","8,735","6,902","15,357","14,162","4,225","8,025","10,548"
Thursday,22/05/2014,"6,953","31,915","8,099","8,733","6,520","13,998","14,025","4,456","7,478","8,668"
Friday,23/05/2014,"8,067","37,390","6,675","10,580","9,245","7,691","16,340","4,842","9,547","11,558"
Saturday,24/05/2014,"7,925","45,086","9,499","14,328","11,438","12,942","17,673","5,043","13,561","14,851"
Sunday,25/05/2014,"7,311","29,662","5,839","5,677","4,885","9,943","15,021","3,738","9,327","11,413"
Monday,26/05/2014,"7,251","36,624","3,884","9,272","7,538","8,883","14,724","5,467","11,006","12,957"
Tuesday,27/05/2014,"7,611","34,075","4,092","9,583","5,109","9,891","15,647","4,794","9,890","11,303"
Wednesday,28/05/2014,"5,592","30,287","7,156","7,622","6,058","12,096","13,012","3,781","7,105","10,123"
Thursday,29/05/2014,"7,426","37,092","5,974","10,990","8,675","20,165","15,285","4,926","13,898","12,673"
Friday,30/05/2014,"9,246","38,734","3,675","12,579","10,517","4,071","17,536","7,007","12,857","12,378"
Saturday,31/05/2014,"8,502","43,317","9,052","13,688","11,622","11,824","18,987","4,594","16,088","12,360"
