Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Wednesday,1/1/14,"7,804","14,806","4,524","8,535","4,757","7,450","14,461","2,882","6,820","14,892"
Thursday,2/1/14,"8,149","40,822","10,559","14,117","8,749","17,475","15,525","3,867","8,147","13,111"
Friday,3/1/14,"6,061","30,277","7,199","9,941","5,931","12,596","13,028","3,256","4,588","9,159"
Saturday,4/1/14,"6,621","36,250","9,364","13,541","8,469","14,677","13,254","3,370","4,662","9,398"
Sunday,5/1/14,"5,202","23,244","5,484","6,687","3,939","9,283","8,505","2,441","3,028","6,439"
Monday,6/1/14,"5,455","22,555","4,576","6,495","4,504","7,723","8,984","3,748","2,212","5,836"
Tuesday,7/1/14,"6,499","25,955","5,679","7,334","5,666","10,541","9,470","4,051","2,540","6,345"
Wednesday,8/1/14,"6,522","27,877","6,709","7,517","5,484","8,376","10,135","4,397","4,238","6,713"
Thursday,9/1/14,"6,452","29,970","7,221","7,690","5,517","8,452","10,265","4,651","3,511","6,658"
Friday,10/1/14,"6,797","29,625","6,751","8,521","5,859","9,600","11,249","4,376","2,807","7,743"
Saturday,11/1/14,"7,560","39,125","8,319","12,415","7,868","11,961","12,701","3,887","4,801","9,503"
Sunday,12/1/14,"5,637","24,571","4,373","6,523","3,844","7,158","8,795","2,575","3,495","6,299"
Monday,13/01/2014,"6,370","25,057","5,306","7,063","4,826","7,018","9,839","4,647","2,583","6,307"
Tuesday,14/01/2014,"6,543","25,472","6,543","7,286","5,079","10,446","10,456","4,655","2,932","6,418"
Wednesday,15/01/2014,"6,568","26,125","4,312","7,453","5,194","10,375","10,761","4,793","2,952","6,463"
Thursday,16/01/2014,"6,942","29,110","4,319","8,581","5,514","11,609","11,539","5,431","3,045","7,136"
Friday,17/01/2014,"6,858","29,677","4,310","9,263","6,419","10,550","12,954","4,868","3,424","8,163"
Saturday,18/01/2014,"7,876","38,358","7,270","12,890","8,400","12,258","13,835","3,606","5,688","10,599"
Sunday,19/01/2014,"6,042","24,214","4,494","7,378","4,321","8,821","9,548","2,748","6,011","7,855"
Monday,20/01/2014,"6,746","24,371","6,304","6,948","5,090","12,256","10,376","5,066","4,140","7,136"
Tuesday,21/01/2014,"6,823","23,627","6,191","6,884","5,106","10,065","10,576","5,052","3,775","6,715"
Wednesday,22/01/2014,"7,122","25,628","6,505","7,518","5,515","11,708","10,559","5,073","3,804","6,922"
Thursday,23/01/2014,"6,532","27,563","6,547","7,969","5,442","11,384","11,456","4,880","5,212","7,646"
Friday,24/01/2014,"6,797","29,294","7,081","9,307","6,355","11,419","12,810","5,215","4,441","8,516"
Saturday,25/01/2014,"6,497","32,050","8,075","10,769","6,994","10,163","11,753","3,236","5,321","10,956"
Sunday,26/01/2014,"5,684","22,497","3,143","6,819","3,946","8,264","9,649","2,790","5,144","7,809"
Monday,27/01/2014,"6,564","24,400","6,130","6,836","4,904","11,591","10,302","5,170","3,608","6,814"
Tuesday,28/01/2014,"5,999","23,795","5,205","7,004","4,833","11,140","10,185","4,825","2,896","6,858"
Wednesday,29/01/2014,"6,418","25,689","6,327","7,343","5,122","9,589","10,324","5,089","4,108","7,295"
Thursday,30/01/2014,"6,860","28,747","7,836","8,313","5,764","12,326","11,446","5,060","5,564","7,886"
Friday,31/01/2014,"7,126","30,243","7,850","9,474","7,031","11,842","13,118","6,235","6,514","9,395"
