Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Saturday,1/11/14,"8,678","47,996","12,358","15,627","10,304","19,286","20,722","9,271","14,537",
Sunday,2/11/14,"6,210","31,519","7,506","8,507","5,534","10,007","14,064","5,611","9,927",
Monday,3/11/14,"6,206","27,932","7,679","7,109","5,108","11,041","12,636","3,833","8,475",
Tuesday,4/11/14,"6,342","29,595","8,413","7,654","5,224","10,534","12,826","3,720","7,991",
Wednesday,5/11/14,"7,538","35,018","8,930","8,572","5,117","10,034","14,915","3,850","9,218",
Thursday,6/11/14,"6,389","30,638","7,882","7,794","4,715","9,293","12,741","3,519","7,899",
Friday,7/11/14,"7,823","37,862","9,918","10,505","6,933","11,315","16,013","4,900","10,622",
Saturday,8/11/14,"7,728","48,545","10,282","14,870","10,878","20,233","18,421","6,853","13,241",
Sunday,9/11/14,"6,624","35,108","7,928","10,309","5,588","11,783","13,905","5,041","10,886",
Monday,10/11/14,"6,941","31,443","8,502","7,549","5,533","9,343","12,945","3,715","8,516",
Tuesday,11/11/14,"6,648","30,767","8,227","7,789","5,391","11,515","12,331","3,229","7,973",
Wednesday,12/11/14,"6,754","31,417","8,686","8,123","5,799","12,202","12,797","3,262","8,210",
Thursday,13/11/2014,"6,559","35,218","8,227","8,682","6,109","11,307","13,344","3,450","8,338",
Friday,14/11/2014,"6,559","35,194","8,267","9,811","6,785","11,282","14,821","3,719","9,745",
Saturday,15/11/2014,"8,347","54,912",379,"18,478","13,500","20,439","20,777","8,533","13,660",
Sunday,16/11/2014,"6,515","36,576","4,236","9,991","5,930","13,544","14,907","5,438","9,881",
Monday,17/11/2014,"6,180","29,921","6,258","5,328","5,321","6,444","12,216","3,009","7,524",
Tuesday,18/11/2014,"6,924","32,139","8,506","8,649","5,787","12,508","12,858","3,414","7,934",
Wednesday,19/11/2014,"6,334","32,237","8,087","8,445","5,817","8,987","13,894","2,992","7,716",
Thursday,20/11/2014,"6,935","37,545","10,371","10,010","6,160","10,726","14,276","3,683","8,125",
Friday,21/11/2014,"7,401","42,141","11,972","12,163","7,816","14,360","17,920","4,828","10,321",
Saturday,22/11/2014,"8,374","55,419","14,880","18,471","12,423","24,781","21,894","7,788","14,241",
Sunday,23/11/2014,"6,594","46,503","18,776","14,896","7,781","14,846","20,576","8,448","10,771",
Monday,24/11/2014,"6,760","35,137","12,423","9,091","5,959","10,421","14,320","6,418","8,897",
Tuesday,25/11/2014,"6,683","33,569","10,187","9,207","6,187","11,465","14,207","4,054","8,638",
Wednesday,26/11/2014,"6,575","36,475","12,985","10,019","6,212","14,177","14,617","4,320","8,818",
Thursday,27/11/2014,"6,577","40,443","11,504","10,949","6,646","12,943","15,330","3,109","9,153",
Friday,28/11/2014,"8,207","57,678","15,518","16,219","9,954","18,181","22,124","4,487","11,622",
Saturday,29/11/2014,"8,977","66,708","17,935","24,216","15,263","24,730","27,423","8,586","16,881",
Sunday,30/11/2014,"7,065","50,173","15,013","16,008","8,120","14,479","21,833","5,472","12,653",
