Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Saturday,01/06/2013,"8,316","39,659","9,505","14,120","11,439","21,636","16,278","3,503","12,457","14,260"
Sunday,02/06/2013,"7,021","29,864","4,337","7,818","5,437","8,232","13,099","2,389","8,307","12,517"
Monday,03/06/2013,"7,847","33,285","5,799","8,859","6,751","19,132","13,657","4,575","7,592","10,374"
Tuesday,04/06/2013,"8,613","33,603","5,411","8,552","7,221","9,662","13,819","4,807","8,343","10,347"
Wednesday,05/06/2013,"7,316","34,080","6,621","8,446","7,100","14,320","13,299","4,545","7,529","10,610"
Thursday,06/06/2013,"8,511","35,003","6,036","9,437","7,638","7,342","14,140","5,273","8,602","10,439"
Friday,07/06/2013,"8,648","35,083","7,706","10,962","9,200","19,923","14,920","5,285","10,225","11,910"
Saturday,08/06/2013,"8,711","35,676","5,679","11,040","10,213","22,771","14,711","4,020","13,016","12,309"
Sunday,09/06/2013,"7,228","29,631","4,048","7,245","5,464","7,004","11,418","2,832","7,899","10,385"
Monday,10/06/2013,"7,804","32,402","6,958","8,400","7,400","19,409","12,847","5,066","7,554","11,787"
Tuesday,11/06/2013,"6,943","22,975","6,448","8,351","6,995","10,678","12,666","4,614","6,741","10,872"
Wednesday,12/06/2013,"7,256","32,382","5,641","8,884","7,075","8,485","13,513","5,065","7,507","11,558"
Thursday,13/06/2013,"8,387","32,555","8,125","10,908","7,997","14,005","14,219","5,294","8,088","11,097"
Friday,14/06/2013,"8,403","31,929","7,344","11,665","9,575","17,117","15,510","5,142","9,737","9,633"
Saturday,15/06/2013,"7,939","32,464","9,237","14,072","11,037","21,904","14,647","3,795","11,210","13,951"
Sunday,16/06/2013,"6,776","26,962","4,540","8,204","5,973","9,949","11,483","2,685","8,324","11,476"
Monday,17/06/2013,"7,662","37,256","8,824","8,672","7,590","18,360","13,880","4,895","8,073","12,494"
Tuesday,18/06/2013,"7,637","27,340","8,138","9,876","7,983","15,905","14,237","5,072","7,811","11,232"
Wednesday,19/06/2013,"8,472","35,391","7,851","9,816","7,821","15,020","14,603","5,265","8,314","11,346"
Thursday,20/06/2013,"8,200","35,884","6,844","11,113","8,804","8,968","15,889","5,256","8,194","12,711"
Friday,21/06/2013,"8,311","37,334","7,307","11,947","10,157","16,329","17,242","5,555","9,644","13,783"
Saturday,22/06/2013,"7,321","39,658","7,745","13,023","10,197","19,067","15,660","3,923","10,054","15,493"
Sunday,23/06/2013,"5,989","29,244","4,789","8,096","5,544","12,542","11,683","2,595","7,142","12,484"
Monday,24/06/2013,"7,633","34,718","7,756","9,464","7,459","13,946","14,490","5,504","8,167","14,268"
Tuesday,25/06/2013,"7,480","31,758","7,372","10,012","7,635","16,253","15,170","5,498","8,015","14,050"
Wednesday,26/06/2013,"7,684","35,180","6,554","10,278","8,182","12,423","15,138","6,030","9,033","11,601"
Thursday,27/06/2013,"6,878","37,362","8,162","10,397","7,736","15,070","14,533","5,969","7,401","12,016"
Friday,28/06/2013,"8,030","39,796","8,800","12,611","10,157","16,936","17,106","6,606","10,944","12,913"
Saturday,29/06/2013,"8,322","43,632","9,558","16,679","12,536","23,609","17,483","4,814","13,600","15,210"
Sunday,30/06/2013,"6,296","31,813","4,790","9,272","6,264","12,637","13,571","3,110","8,399","11,079"
