Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Tuesday,01/10/2013,"7,107","31,384","4,022","8,848","6,592","12,222","12,785","4,489","6,702","8,353"
Wednesday,02/10/2013,"7,015","32,015","4,504","8,922","6,670","12,265","12,216","4,311","5,662","8,889"
Thursday,03/10/2013,"6,595","33,140","3,927","9,292","6,557","13,943","12,586","4,311","5,676","8,382"
Friday,04/10/2013,"7,911","36,100","2,933","10,821","8,748","17,820","14,517","4,397","8,971","10,180"
Saturday,05/10/2013,"8,621","44,490","6,104","16,163","11,855","22,638","16,382","3,742","13,955","9,479"
Sunday,06/10/2013,"6,703","30,578","3,630","8,783","5,801","14,092","11,837","2,120","7,795","8,837"
Monday,07/10/2013,"7,470","31,709","2,452","8,685","6,882","13,634","12,333","4,218","6,397","8,225"
Tuesday,08/10/2013,"7,068","32,194","2,733","8,827","6,633","12,629","12,639","4,310","6,420","7,222"
Wednesday,09/10/2013,"7,091","32,943","6,090","8,454","6,192","13,049","12,591","4,168","6,503","8,590"
Thursday,10/10/2013,"7,101","35,429","7,111","9,899","6,785","12,174","13,361","4,865","7,487","7,990"
Friday,11/10/2013,"7,758","39,317","4,055","11,500","9,066","13,769","15,286","5,375","9,144","9,425"
Saturday,12/10/2013,"7,966","45,664","4,714","16,095","12,254","20,397","15,010","4,259","10,710","10,051"
Sunday,13/10/2013,"6,154","30,326","3,852","8,292","5,548","11,615","11,676","2,578","6,425","9,702"
Monday,14/10/2013,"7,004","35,087","4,382","8,793","6,365","12,848","13,413","4,674","6,490","9,739"
Tuesday,15/10/2013,"6,822","36,927","5,564","8,860","6,397","15,294","12,986","4,131","5,298","9,151"
Wednesday,16/10/2013,"6,130","38,276","3,830","8,824","6,962","15,363","13,650","4,601","5,518","8,003"
Thursday,17/10/2013,"5,799","36,129","3,643","8,654","6,359","12,691","13,401","3,991","4,930","8,069"
Friday,18/10/2013,"7,116","38,867","5,821","10,929","8,430","15,925","15,075","4,520","6,419","10,443"
Saturday,19/10/2013,"8,072","41,497","7,012","13,262","10,032","15,251","14,945","5,116","8,477","12,218"
Sunday,20/10/2013,"6,499","31,979","4,469","8,657","5,976","13,644","12,260","4,073","7,218","9,321"
Monday,21/10/2013,"6,404","30,743","3,706","7,982","6,087","12,167","12,074","6,400","5,243","8,920"
Tuesday,22/10/2013,"6,759","30,568","4,783","8,134","6,162","14,240","12,065","6,101","5,799","9,372"
Wednesday,23/10/2013,"7,171","34,543","8,406","9,327","6,490","12,583","13,241","6,535","6,636","9,480"
Thursday,24/10/2013,"7,500","37,029","6,316","10,237","7,705","7,710","13,638","7,036","8,299","9,645"
Friday,25/10/2013,"8,025","37,221","5,321","10,823","8,456","14,339","15,114","6,635","10,749","11,678"
Saturday,26/10/2013,"9,316","46,235","7,761","16,088","10,751","20,434","16,466","5,656","13,712","12,601"
Sunday,27/10/2013,"6,345","32,520","5,683","8,612","5,226","12,747","11,950","3,484","7,332","11,046"
Monday,28/10/2013,"6,808","36,257","7,382","9,164","6,651","11,876","13,252","6,153","7,618","11,934"
Tuesday,29/10/2013,"7,216","38,330","6,889","9,930","7,318","13,974","14,256","6,303","9,669","11,652"
Wednesday,30/10/2013,"8,359","39,273","6,391","9,896","7,082","9,985","14,418","6,212","7,212","11,658"
Thursday,31/10/2013,"6,969","40,025","7,365","10,654","7,485","11,429","14,095","5,991","9,241","12,424"
