Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Monday,01/07/2013,"7,468","37,787","7,771","10,388","8,003","16,716","15,885","6,482","8,760","13,148"
Tuesday,02/07/2013,"6,154","34,620","7,406","9,822","6,975","17,783","14,860","5,726","8,225","12,804"
Wednesday,03/07/2013,"8,073","39,061","6,967","11,527","8,847","19,877","17,288","6,346","9,148","13,629"
Thursday,04/07/2013,"7,277","39,650","7,619","11,552","8,775","15,629","15,994","5,652","9,393","12,457"
Friday,05/07/2013,"8,468","39,231","6,757","12,764","11,028","17,070","17,397","6,288","13,118","13,770"
Saturday,06/07/2013,"8,624","38,390","3,923","13,381","13,242","9,109","16,642","4,776","14,832","14,490"
Sunday,07/07/2013,"6,883","28,502","2,079","8,191","6,982","12,148","12,797","3,811","10,017","11,250"
Monday,08/07/2013,"7,969","36,645","4,491","9,857","9,000","16,051","15,697","5,800","9,954","13,441"
Tuesday,09/07/2013,"7,767","34,429","2,547","10,569","9,639","8,302","8,768","6,162","9,143","11,684"
Wednesday,10/07/2013,"7,840","37,212","5,868","10,974","9,251","18,404","15,638","5,611","9,464","13,491"
Thursday,11/07/2013,"8,073","39,127","4,254","11,325","10,210","7,966","15,874","5,967","9,814","11,898"
Friday,12/07/2013,"8,022","37,343","3,132","12,256","11,757","18,940","16,529","5,989","11,332","13,336"
Saturday,13/07/2013,"7,634","40,205","3,968","12,514","12,626","15,212","16,381","4,590","12,950","14,220"
Sunday,14/07/2013,"6,693","30,820","2,953","8,348","7,070","13,873","13,810","3,440","10,309","14,152"
Monday,15/07/2013,"7,535","38,783","6,033","10,465","9,305","19,259","17,590","5,985","9,921","8,900"
Tuesday,16/07/2013,"7,656","37,271","3,674","11,104","9,318","16,805","15,432","5,887","10,109","9,601"
Wednesday,17/07/2013,"7,967","38,158","2,729","11,738","8,601","12,483","16,666","6,061","11,263","12,418"
Thursday,18/07/2013,"7,975","36,851","1,676","12,694","9,108","18,277","16,057","6,089","10,767","10,175"
Friday,19/07/2013,"8,363","37,166","2,934","12,670","11,493","16,090","17,353","5,851","12,739","10,719"
Saturday,20/07/2013,"7,872","39,476","4,508","12,801","12,110","21,851","17,438","4,878","21,512","13,323"
Sunday,21/07/2013,"6,740","32,513","4,324","10,599","7,407","12,047","14,998","3,805","14,773","9,508"
Monday,22/07/2013,"7,327","38,851","5,462","11,008","9,295","15,962","16,182","5,972","12,064","13,907"
Tuesday,23/07/2013,"6,411","35,053","4,435","9,263","8,098","18,062","14,665","5,210","8,952","11,640"
Wednesday,24/07/2013,"7,731","38,120","3,810","11,798","10,565","18,472","16,532","6,105","11,118","11,131"
Thursday,25/07/2013,"7,553","39,537","5,296","11,432","9,626","18,479","16,254","5,387","10,519","12,149"
Friday,26/07/2013,"8,315","40,025","4,140","13,498","11,088","19,202","17,758","6,334","13,813","11,952"
Saturday,27/07/2013,"7,724","41,230","4,031","15,035","12,865","22,820","17,354","4,683","16,778","11,034"
Sunday,28/07/2013,"5,104","27,763","3,483","8,242","6,245","12,903","13,088","2,836","9,011","10,650"
Monday,29/07/2013,"6,575","35,463","4,489","10,229","8,350","18,891","15,097","5,343","10,150","13,144"
Tuesday,30/07/2013,"7,796","39,277","5,739","12,530","10,392","20,828","17,022","5,962","12,073","12,520"
Wednesday,31/07/2013,"7,985","40,609","5,049","14,613","10,249","17,960","17,574","5,787","12,175","12,243"
